cell,feature,n,weak_cell,stability,sign_correct,oracle_single_auroc,abs_rho,headroom_pp,is_candidate
epr_triviaqa_mistral24b,cusum_max_energy,621,False,1.0,1,0.6478229154976995,0.2138877724016217,,
epr_triviaqa_mistral24b,mean_top1_logprob,621,False,1.0,1,0.7342049152732577,0.2787059065850203,,
epr_triviaqa_mistral24b,logprob_margin,621,False,1.0,1,0.7043822242172597,0.22048178345499397,,
epr_triviaqa_mistral24b,mean_logprob_entropy,621,False,1.0,1,0.7421725956682752,0.23551086880410355,,
epr_triviaqa_mistral24b,varentropy,621,False,1.0,1,0.7362389181909998,0.211753100691071,,
epr_triviaqa_mistral24b,renyi_entropy_2,621,False,1.0,1,0.7380204241948154,0.23488938077300212,,
epr_triviaqa_mistral24b,topk_tail_mass,621,False,1.0,1,0.7548395241835933,0.23765889016625186,,
internalstates_gsm8k_qwen25_7b,epr,500,True,1.0,1,0.6311499103890849,0.1900419085885513,,
internalstates_gsm8k_qwen25_7b,trace_length,500,True,1.0,1,0.7074059085390529,0.09783667081872291,,
internalstates_gsm8k_qwen25_7b,spectral_entropy,500,True,0.906,1,0.6742980478310304,0.020448082549615956,,
internalstates_gsm8k_qwen25_7b,low_band_power,500,True,1.0,1,0.6393208841610298,0.11459853213576114,,
internalstates_gsm8k_qwen25_7b,high_band_power,500,True,1.0,1,0.5879246882889133,0.087789544689736,,
internalstates_gsm8k_qwen25_7b,hl_ratio,500,True,1.0,1,0.6256576284904897,0.09992288113778333,,
internalstates_gsm8k_qwen25_7b,dominant_freq,500,True,1.0,1,0.5950453835925305,0.027135058778690182,,
internalstates_gsm8k_qwen25_7b,spectral_centroid,500,True,1.0,1,0.6295118614017845,0.16894008311974107,,
internalstates_gsm8k_qwen25_7b,stft_max_high_power,500,True,1.0,1,0.5321732092270336,0.09969380249687264,,
internalstates_gsm8k_qwen25_7b,stft_spectral_entropy,500,True,0.954,1,0.5269507236322291,0.024568298912099672,,
internalstates_gsm8k_qwen25_7b,rpdi,500,True,1.0,1,0.5097415736832978,0.0787687447691909,6.51,1
internalstates_gsm8k_qwen25_7b,sw_var_peak,500,True,1.0,1,0.6912952149698406,0.17380589501418256,,
internalstates_gsm8k_qwen25_7b,pe_mean,500,True,0.6,1,0.5104546067718874,0.0033787045104626337,2.12,0
internalstates_gsm8k_qwen25_7b,hurst_exponent,500,True,1.0,1,0.5912778709217398,0.059029214933560316,-3.9,0
internalstates_gsm8k_qwen25_7b,cusum_max,500,True,1.0,1,0.680908057273901,0.1851719605497506,,
internalstates_gsm8k_qwen25_7b,cusum_shift_idx,500,True,1.0,1,0.5065907382783141,0.09138525239869644,2.3,0
internalstates_gsm8k_qwen25_7b,epr_spilled,500,True,1.0,1,0.6379911738066331,0.19017840079543902,,
internalstates_gsm8k_qwen25_7b,sw_var_peak_spilled,500,True,1.0,1,0.6565878476036306,0.13247426345987873,,
internalstates_gsm8k_qwen25_7b,cusum_max_spilled,500,True,1.0,1,0.6867472201345127,0.1899291415626868,,
internalstates_gsm8k_qwen25_7b,epr_energy,500,True,1.0,1,0.7461409492975661,0.16208783496158158,,
internalstates_gsm8k_qwen25_7b,min_energy,500,True,1.0,1,0.6145959800350735,0.09376441302111914,,
internalstates_gsm8k_qwen25_7b,sw_var_peak_energy,500,True,1.0,1,0.5367597463914744,0.03727114966492763,,
internalstates_gsm8k_qwen25_7b,cusum_max_energy,500,True,1.0,1,0.6539669692239503,0.13795178572404693,,
internalstates_gsm8k_qwen25_7b,mean_top1_logprob,500,True,1.0,1,0.6242893758069801,0.2541933317544276,,
internalstates_gsm8k_qwen25_7b,logprob_margin,500,True,1.0,1,0.6979823090709373,0.19247146558973738,,
internalstates_gsm8k_qwen25_7b,mean_logprob_entropy,500,True,1.0,1,0.6317087741612226,0.19275540802804325,,
internalstates_gsm8k_qwen25_7b,varentropy,500,True,1.0,1,0.651114836869592,0.19534804751144838,,
internalstates_gsm8k_qwen25_7b,renyi_entropy_2,500,True,1.0,1,0.6251565782120214,0.18967413450886167,,
internalstates_gsm8k_qwen25_7b,topk_tail_mass,500,True,1.0,1,0.6846273920333006,0.20951783752930322,,
lapeigvals_gsm8k_llama3b,epr,1319,True,1.0,1,0.7076875098909896,0.2127687815249024,,
lapeigvals_gsm8k_llama3b,trace_length,1319,True,1.0,1,0.6158362889937722,0.15694398503079052,,
lapeigvals_gsm8k_llama3b,spectral_entropy,1319,True,1.0,1,0.5560877295873247,0.035094098366018824,,
lapeigvals_gsm8k_llama3b,low_band_power,1319,True,1.0,1,0.625901825527597,0.12399110010197234,,
lapeigvals_gsm8k_llama3b,high_band_power,1319,True,1.0,1,0.5918395844387969,0.07673914200061427,,
lapeigvals_gsm8k_llama3b,hl_ratio,1319,True,1.0,1,0.6182636542203107,0.08859867319994616,,
lapeigvals_gsm8k_llama3b,dominant_freq,1319,True,1.0,1,0.5775791046443433,0.03998718448246568,,
lapeigvals_gsm8k_llama3b,spectral_centroid,1319,True,1.0,1,0.617558484840022,0.1613812794863088,,
lapeigvals_gsm8k_llama3b,stft_max_high_power,1319,True,1.0,1,0.5316581487791028,0.0556181063890083,,
lapeigvals_gsm8k_llama3b,stft_spectral_entropy,1319,True,1.0,1,0.5154136528239357,0.06311187425847817,,
lapeigvals_gsm8k_llama3b,rpdi,1319,True,1.0,1,0.5881298814943074,0.12423273515031497,-2.38,0
lapeigvals_gsm8k_llama3b,sw_var_peak,1319,True,1.0,1,0.6796413178056432,0.19804271017036676,,
lapeigvals_gsm8k_llama3b,pe_mean,1319,True,0.698,1,0.5347930106776142,0.004063413897049846,3.95,1
lapeigvals_gsm8k_llama3b,hurst_exponent,1319,True,1.0,1,0.5705402109457183,0.07752672569981156,-0.12,0
lapeigvals_gsm8k_llama3b,cusum_max,1319,True,1.0,1,0.644294411707208,0.20771459293975977,,
lapeigvals_gsm8k_llama3b,cusum_shift_idx,1319,True,1.0,1,0.5876155500321166,0.08255845141960547,-1.96,0
lapeigvals_gsm8k_llama3b,epr_spilled,1319,True,1.0,1,0.6896696176725221,0.21433129835728343,,
lapeigvals_gsm8k_llama3b,sw_var_peak_spilled,1319,True,1.0,1,0.6329884287057466,0.15767285348457952,,
lapeigvals_gsm8k_llama3b,cusum_max_spilled,1319,True,1.0,1,0.643526405451448,0.21462297529951024,,
lapeigvals_gsm8k_llama3b,min_spilled,1319,True,1.0,1,0.6294369815957773,0.06786070449723594,,
lapeigvals_gsm8k_llama3b,epr_energy,1319,True,1.0,1,0.7080296217685554,0.23555580522482344,,
lapeigvals_gsm8k_llama3b,min_energy,1319,True,1.0,1,0.5260528667578965,0.19202283003109724,9.67,1
lapeigvals_gsm8k_llama3b,sw_var_peak_energy,1319,True,0.642,0,0.5760558922370858,0.003767065727139994,,
lapeigvals_gsm8k_llama3b,cusum_max_energy,1319,True,1.0,1,0.6357741968516398,0.21350006086648926,,
lapeigvals_gsm8k_llama3b,mean_top1_logprob,1319,True,1.0,1,0.7023766302678247,0.2690237029384735,,
lapeigvals_gsm8k_llama3b,logprob_margin,1319,True,1.0,1,0.7079132571843494,0.21739081108241215,,
lapeigvals_gsm8k_llama3b,mean_logprob_entropy,1319,True,1.0,1,0.7081087496858156,0.2167734996784964,,
lapeigvals_gsm8k_llama3b,varentropy,1319,True,1.0,1,0.7106804069967697,0.20965028404450464,,
lapeigvals_gsm8k_llama3b,renyi_entropy_2,1319,True,1.0,1,0.7049645786205676,0.21657780636887827,,
lapeigvals_gsm8k_llama3b,topk_tail_mass,1319,True,1.0,1,0.6976010277320077,0.22238381944340851,,
lapeigvals_gsm8k_llama8b,epr,500,False,1.0,1,0.7844102810473217,0.19419018372154256,,
lapeigvals_gsm8k_llama8b,trace_length,500,False,1.0,1,0.7337456962126672,0.18391539315656827,,
lapeigvals_gsm8k_llama8b,spectral_entropy,500,False,0.93,1,0.59524381455681,0.0330047962250162,,
lapeigvals_gsm8k_llama8b,low_band_power,500,False,1.0,1,0.7504403875410361,0.09530101825894025,,
lapeigvals_gsm8k_llama8b,high_band_power,500,False,1.0,1,0.7171110577308031,0.06933433170987639,,
lapeigvals_gsm8k_llama8b,hl_ratio,500,False,1.0,1,0.7543838577948594,0.06939362838224448,,
lapeigvals_gsm8k_llama8b,dominant_freq,500,False,1.0,1,0.6794779405877172,0.02061015278057787,,
lapeigvals_gsm8k_llama8b,spectral_centroid,500,False,1.0,1,0.7621506926094963,0.13937484646286752,,
lapeigvals_gsm8k_llama8b,stft_max_high_power,500,False,1.0,1,0.5045840339498758,0.04672451446466684,,
lapeigvals_gsm8k_llama8b,stft_spectral_entropy,500,False,1.0,1,0.6527944591240292,0.07600931704946494,,
lapeigvals_gsm8k_llama8b,rpdi,500,False,1.0,1,0.7179517975818721,0.09002998305591997,-5.64,0
lapeigvals_gsm8k_llama8b,sw_var_peak,500,False,1.0,1,0.7934182080230603,0.13953111122362433,,
lapeigvals_gsm8k_llama8b,pe_mean,500,False,0.996,1,0.5497838097525822,0.0212454726710171,-0.65,0
lapeigvals_gsm8k_llama8b,hurst_exponent,500,False,1.0,1,0.680438786131796,0.06549743110391233,-3.66,0
lapeigvals_gsm8k_llama8b,cusum_max,500,False,1.0,1,0.7605693009848666,0.20216592961519758,,
lapeigvals_gsm8k_llama8b,cusum_shift_idx,500,False,0.94,1,0.5334494355032429,0.017507125507283984,0.73,0
lapeigvals_gsm8k_llama8b,epr_spilled,500,False,1.0,1,0.7768236047721995,0.19737913921610034,,
lapeigvals_gsm8k_llama8b,sw_var_peak_spilled,500,False,1.0,1,0.716110176955721,0.11300472657988613,,
lapeigvals_gsm8k_llama8b,cusum_max_spilled,500,False,1.0,1,0.7761229882296421,0.20076288177617674,,
lapeigvals_gsm8k_llama8b,epr_energy,500,False,1.0,1,0.80426775562495,0.2155831352044468,,
lapeigvals_gsm8k_llama8b,min_energy,500,False,1.0,1,0.7988229642085035,0.20402668953704592,,
lapeigvals_gsm8k_llama8b,sw_var_peak_energy,500,False,0.852,0,0.571182640723837,0.013534682574614659,,
lapeigvals_gsm8k_llama8b,cusum_max_energy,500,False,1.0,1,0.7654335815517656,0.20455374069973728,,
lapeigvals_gsm8k_llama8b,mean_top1_logprob,500,False,1.0,1,0.7777243974697734,0.2610458748848723,,
lapeigvals_gsm8k_llama8b,logprob_margin,500,False,1.0,1,0.7749219312995437,0.19686999248937662,,
lapeigvals_gsm8k_llama8b,mean_logprob_entropy,500,False,1.0,1,0.7858315317479382,0.2002893108689125,,
lapeigvals_gsm8k_llama8b,varentropy,500,False,1.0,1,0.8011650252221956,0.18095014566495918,,
lapeigvals_gsm8k_llama8b,renyi_entropy_2,500,False,1.0,1,0.7801865641764753,0.20240769494967048,,
lapeigvals_gsm8k_llama8b,topk_tail_mass,500,False,1.0,1,0.8030466810793497,0.212681173632144,,
lapeigvals_gsm8k_mistral24b,epr,1319,False,1.0,1,0.8473121540677838,0.21825489603119286,,
lapeigvals_gsm8k_mistral24b,trace_length,1319,False,1.0,1,0.7097770869664115,0.11267972838773002,,
lapeigvals_gsm8k_mistral24b,spectral_entropy,1319,False,0.992,1,0.5192433088179543,0.03792101533652394,,
lapeigvals_gsm8k_mistral24b,low_band_power,1319,False,1.0,1,0.7531579346425051,0.1258777750537252,,
lapeigvals_gsm8k_mistral24b,high_band_power,1319,False,1.0,1,0.7597467586625217,0.08636815428454639,,
lapeigvals_gsm8k_mistral24b,hl_ratio,1319,False,1.0,1,0.7694063234513611,0.09219222318772566,,
lapeigvals_gsm8k_mistral24b,dominant_freq,1319,False,1.0,1,0.6984077640457957,0.032487724974752864,,
lapeigvals_gsm8k_mistral24b,spectral_centroid,1319,False,1.0,1,0.785336265069376,0.1724498130067934,,
lapeigvals_gsm8k_mistral24b,stft_max_high_power,1319,False,1.0,1,0.657161270755933,0.07393890675653653,,
lapeigvals_gsm8k_mistral24b,stft_spectral_entropy,1319,False,0.974,0,0.5263932064599287,0.01913865754475405,3.74,1
lapeigvals_gsm8k_mistral24b,rpdi,1319,False,1.0,1,0.6795132307225719,0.06588842474822985,0.5,0
lapeigvals_gsm8k_mistral24b,sw_var_peak,1319,False,1.0,1,0.8470846917886118,0.1933121380653208,,
lapeigvals_gsm8k_mistral24b,pe_mean,1319,False,0.76,1,0.538342558192433,0.004973576244586109,1.48,0
lapeigvals_gsm8k_mistral24b,hurst_exponent,1319,False,1.0,1,0.7277807263628782,0.0975541521192674,-2.93,0
lapeigvals_gsm8k_mistral24b,cusum_max,1319,False,1.0,1,0.8139358556372736,0.2089304054060933,,
lapeigvals_gsm8k_mistral24b,cusum_shift_idx,1319,False,1.0,1,0.6593297444840398,0.07868125184775784,-1.3,0
lapeigvals_gsm8k_mistral24b,epr_spilled,1319,False,1.0,1,0.8324361210099325,0.21999437270767389,,
lapeigvals_gsm8k_mistral24b,sw_var_peak_spilled,1319,False,1.0,1,0.792554401395102,0.1597619071075169,,
lapeigvals_gsm8k_mistral24b,cusum_max_spilled,1319,False,1.0,1,0.8017666237015695,0.21113705449899461,,
lapeigvals_gsm8k_mistral24b,min_spilled,1319,False,1.0,1,0.6974031389794526,0.1298576154456393,,
lapeigvals_gsm8k_mistral24b,epr_energy,1319,False,1.0,1,0.8091667298506331,0.22429143451318928,,
