auroc,budget,clean_abstention,exact_error,family,model,n,stratum,stratum_type,task,within_one
,,nan,0.2916666666666667,omnimath,qwen3_8b,24,q4,error_position_quartile,local,0.375
,,0.5555555555555556,nan,omnimath,qwen3_8b,45,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.20454545454545456,omnimath,qwen3_8b,44,answer_correct_process_error,answer_process_stratum,local,0.5681818181818182
,,nan,0.23711340206185566,omnimath,qwen3_8b,97,answer_wrong_process_error,answer_process_stratum,local,0.44329896907216493
0.517198248905566,64,,,omnimath,qwen3_8b,80,short,length_stratum,online,
0.5884928080050031,128,,,omnimath,qwen3_8b,80,short,length_stratum,online,
0.4156378600823045,64,,,omnimath,qwen3_8b,45,medium,length_stratum,online,
0.522633744855967,128,,,omnimath,qwen3_8b,45,medium,length_stratum,online,
0.5345238095238095,64,,,omnimath,qwen3_8b,61,long,length_stratum,online,
0.49880952380952387,128,,,omnimath,qwen3_8b,61,long,length_stratum,online,
,,0.3333333333333333,0.3333333333333333,gsm8k,llama31_8b,21,long,length_stratum,local,0.6
,,0.5454545454545454,0.3333333333333333,gsm8k,llama31_8b,26,medium,length_stratum,local,0.6
,,0.7894736842105263,0.3,gsm8k,llama31_8b,29,short,length_stratum,local,0.5
,,0.6388888888888888,nan,gsm8k,llama31_8b,36,clean,error_position_quartile,local,nan
,,nan,0.2222222222222222,gsm8k,llama31_8b,18,q1,error_position_quartile,local,0.6111111111111112
,,nan,0.36363636363636365,gsm8k,llama31_8b,11,q2,error_position_quartile,local,0.45454545454545453
,,nan,0.5,gsm8k,llama31_8b,6,q3,error_position_quartile,local,0.8333333333333334
,,nan,0.4,gsm8k,llama31_8b,5,q4,error_position_quartile,local,0.4
,,0.6388888888888888,nan,gsm8k,llama31_8b,36,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.0,gsm8k,llama31_8b,3,answer_correct_process_error,answer_process_stratum,local,0.6666666666666666
,,nan,0.35135135135135137,gsm8k,llama31_8b,37,answer_wrong_process_error,answer_process_stratum,local,0.5675675675675675
0.7142857142857143,64,,,gsm8k,llama31_8b,29,short,length_stratum,online,
0.7368421052631579,128,,,gsm8k,llama31_8b,27,short,length_stratum,online,
0.7678571428571428,64,,,gsm8k,llama31_8b,26,medium,length_stratum,online,
0.7916666666666666,128,,,gsm8k,llama31_8b,26,medium,length_stratum,online,
0.48888888888888893,64,,,gsm8k,llama31_8b,21,long,length_stratum,online,
0.5,128,,,gsm8k,llama31_8b,21,long,length_stratum,online,
,,0.2222222222222222,0.17777777777777778,math,llama31_8b,63,long,length_stratum,local,0.4222222222222222
,,0.7391304347826086,0.25,math,llama31_8b,59,medium,length_stratum,local,0.4166666666666667
,,0.8181818181818182,0.4074074074074074,math,llama31_8b,60,short,length_stratum,local,0.6296296296296297
,,0.6486486486486487,nan,math,llama31_8b,74,clean,error_position_quartile,local,nan
