budget,calibration_log_length_slope,candidate,diagnostic_uses_final_length_not_deployable,family,length_residualized_auroc,model,n,raw_auroc
64,0.24033460694338324,finalist_global_detector_local_locator,True,gsm8k,0.6666666666666667,qwen3_8b,76,0.6999306999306999
128,0.2641088720553845,finalist_global_detector_local_locator,True,gsm8k,0.652806652806653,qwen3_8b,76,0.695079695079695
64,0.07292784089737968,mean_entropy,True,gsm8k,0.6853776853776854,qwen3_8b,76,0.7318087318087317
128,0.059074700644264844,mean_entropy,True,gsm8k,0.7297297297297297,qwen3_8b,76,0.7657657657657658
64,0.1891370164357809,max_entropy,True,gsm8k,0.7207207207207207,qwen3_8b,76,0.7602217602217602
128,0.17662781600380126,max_entropy,True,gsm8k,0.726957726957727,qwen3_8b,76,0.762993762993763
64,0.10626281002430966,deepconf_w32,True,gsm8k,0.6334026334026334,qwen3_8b,76,0.6715176715176715
128,0.10435305282832284,deepconf_w32,True,gsm8k,0.6604296604296604,qwen3_8b,76,0.6999306999307
64,0.07292784089737968,deepconf_w64,True,gsm8k,0.6853776853776854,qwen3_8b,76,0.7318087318087317
128,0.09260335871782942,deepconf_w64,True,gsm8k,0.6722106722106721,qwen3_8b,76,0.7089397089397089
64,0.1347543929316308,iu28_registered,True,gsm8k,0.7241857241857242,qwen3_8b,76,0.7519057519057519
128,0.1233188097051576,iu28_registered,True,gsm8k,0.7283437283437284,qwen3_8b,76,0.7595287595287596
64,0.6047836658853594,step272_twohead,True,gsm8k,0.7214137214137214,qwen3_8b,76,0.7636867636867637
128,0.6459828328886827,step272_twohead,True,gsm8k,0.7207207207207207,qwen3_8b,76,0.7726957726957726
64,0.04315572304942759,finalist_global_detector_local_locator,True,math,0.5964975845410628,qwen3_8b,182,0.605072463768116
128,0.07763941472154534,finalist_global_detector_local_locator,True,math,0.555134520651762,qwen3_8b,178,0.5619552860932171
64,-0.008025856813847149,mean_entropy,True,math,0.5855072463768115,qwen3_8b,182,0.5783816425120772
128,0.0012820659213586593,mean_entropy,True,math,0.5436402677781988,qwen3_8b,178,0.5443981306050272
64,0.04200879186586217,max_entropy,True,math,0.5584541062801932,qwen3_8b,182,0.5644927536231884
128,0.04880928878892556,max_entropy,True,math,0.504357711254263,qwen3_8b,178,0.5149677908298598
64,0.011384583192062744,deepconf_w32,True,math,0.6,qwen3_8b,182,0.6036231884057971
128,0.04094294467091371,deepconf_w32,True,math,0.5595553871415939,qwen3_8b,178,0.5766073007452317
64,-0.008025856813847149,deepconf_w64,True,math,0.5855072463768115,qwen3_8b,182,0.5783816425120772
128,0.018531160198443735,deepconf_w64,True,math,0.5667550839964635,qwen3_8b,178,0.5734495389667805
64,0.012415091712218348,iu28_registered,True,math,0.5644927536231884,qwen3_8b,182,0.5695652173913044
128,0.026787621627662732,iu28_registered,True,math,0.5255778704054566,qwen3_8b,178,0.535051155740811
64,0.1275724382523963,step272_twohead,True,math,0.601207729468599,qwen3_8b,182,0.6077294685990338
128,0.15837707659837083,step272_twohead,True,math,0.5538714159403814,qwen3_8b,178,0.563597322218012
64,-0.11309915356278122,finalist_global_detector_local_locator,True,olympiadbench,0.512121212121212,qwen3_8b,191,0.5095398428731762
128,-0.019493946010551943,finalist_global_detector_local_locator,True,olympiadbench,0.5124579124579125,qwen3_8b,191,0.5114478114478115
64,-0.04245293675260674,mean_entropy,True,olympiadbench,0.5088664421997755,qwen3_8b,191,0.5037037037037038
128,-0.043059014560967286,mean_entropy,True,olympiadbench,0.548148148148148,qwen3_8b,191,0.5374859708193042
64,-0.14405277263706603,max_entropy,True,olympiadbench,0.5621773288439955,qwen3_8b,191,0.5511784511784512
128,-0.052884644399315436,max_entropy,True,olympiadbench,0.5304152637485972,qwen3_8b,191,0.5285072951739618
64,-0.04982222253348529,deepconf_w32,True,olympiadbench,0.5210998877665545,qwen3_8b,191,0.5132435465768799
128,-0.012548894330109731,deepconf_w32,True,olympiadbench,0.5344556677890011,qwen3_8b,191,0.5326599326599326
64,-0.04245293675260673,deepconf_w64,True,olympiadbench,0.5088664421997755,qwen3_8b,191,0.5037037037037038
128,-0.03718883018289753,deepconf_w64,True,olympiadbench,0.5466891133557801,qwen3_8b,191,0.5425364758698092
64,-0.08543222242841078,iu28_registered,True,olympiadbench,0.5696969696969696,qwen3_8b,191,0.5593714927048261
128,-0.045762915008986695,iu28_registered,True,olympiadbench,0.5742985409652077,qwen3_8b,191,0.57003367003367
64,-0.6094977418148761,step272_twohead,True,olympiadbench,0.5353535353535354,qwen3_8b,191,0.5274971941638608
128,-0.09065948032896659,step272_twohead,True,olympiadbench,0.528395061728395,qwen3_8b,191,0.5276094276094276
64,0.04782626699878686,finalist_global_detector_local_locator,True,omnimath,0.499826248117688,qwen3_8b,186,0.5073554963512105
128,0.06603178090310906,finalist_global_detector_local_locator,True,omnimath,0.5071238271747944,qwen3_8b,186,0.5249623537588324
64,-0.0049148273906840945,mean_entropy,True,omnimath,0.5380516622263407,qwen3_8b,186,0.5358508050503881
128,-0.012617112262580337,mean_entropy,True,omnimath,0.5526468203405537,qwen3_8b,186,0.5440750608131588
64,-0.026570851966521265,max_entropy,True,omnimath,0.5847330012741805,qwen3_8b,186,0.5792887756284025
128,0.029114830841782288,max_entropy,True,omnimath,0.5407158577551257,qwen3_8b,186,0.5489401135178964
64,-0.010279922260091444,deepconf_w32,True,omnimath,0.5073554963512105,qwen3_8b,186,0.5058496467045059
128,0.0012530999048730588,deepconf_w32,True,omnimath,0.5190547897602225,qwen3_8b,186,0.5198656318776786
64,-0.0049148273906840945,deepconf_w64,True,omnimath,0.5380516622263407,qwen3_8b,186,0.5358508050503881
128,-0.01209080291867908,deepconf_w64,True,omnimath,0.5438433916367428,qwen3_8b,186,0.5400208502258774
64,-0.0042381956911990235,iu28_registered,True,omnimath,0.5755820688057454,qwen3_8b,186,0.5745395575118731
128,0.01714781954332119,iu28_registered,True,omnimath,0.5351557975211398,qwen3_8b,186,0.5403683539905015
64,-0.017119362137386643,step272_twohead,True,omnimath,0.5541526699872582,qwen3_8b,186,0.5532259932815939
128,0.17571623510257717,step272_twohead,True,omnimath,0.5363141434032201,qwen3_8b,186,0.5489401135178965
64,0.04022831750446798,finalist_global_detector_local_locator,True,gsm8k,0.6985446985446986,llama31_8b,76,0.7054747054747055
128,0.23820521910356635,finalist_global_detector_local_locator,True,gsm8k,0.6895544192841491,llama31_8b,74,0.7282688093498904
64,0.07733309094641311,mean_entropy,True,gsm8k,0.7241857241857241,llama31_8b,76,0.7657657657657658
128,0.09238524074311008,mean_entropy,True,gsm8k,0.7085463842220598,llama31_8b,74,0.758217677136596
64,0.030370667672697093,max_entropy,True,gsm8k,0.6888426888426888,llama31_8b,76,0.6957726957726957
128,0.10320199780885955,max_entropy,True,gsm8k,0.6077428780131483,llama31_8b,74,0.6245434623813002
64,0.08379238189495708,deepconf_w32,True,gsm8k,0.7283437283437284,llama31_8b,76,0.760914760914761
128,0.11866716433776453,deepconf_w32,True,gsm8k,0.7005113221329439,llama31_8b,74,0.7552958363769176
64,0.07733309094641311,deepconf_w64,True,gsm8k,0.7241857241857241,llama31_8b,76,0.7657657657657658
128,0.1163794190017307,deepconf_w64,True,gsm8k,0.7275383491599708,llama31_8b,74,0.7742878013148283
64,-0.02080380173964072,iu28_registered,True,gsm8k,0.7096327096327096,llama31_8b,76,0.6999306999306999
128,0.108667497086487,iu28_registered,True,gsm8k,0.6501095690284879,llama31_8b,74,0.6866325785244705
64,0.09247850729220228,step272_twohead,True,gsm8k,0.7227997227997228,llama31_8b,76,0.7283437283437284
128,0.442605290351934,step272_twohead,True,gsm8k,0.6281957633308985,llama31_8b,74,0.672753834915997
64,-0.0324037846916781,finalist_global_detector_local_locator,True,math,0.6460144927536233,llama31_8b,182,0.6431159420289855
128,0.06739094961695219,finalist_global_detector_local_locator,True,math,0.5620689655172414,llama31_8b,177,0.5713920817369094
64,-0.016643758711777215,mean_entropy,True,math,0.5917874396135265,llama31_8b,182,0.5849033816425121
128,-0.00162765238897662,mean_entropy,True,math,0.5348659003831417,llama31_8b,177,0.5340996168582375
64,0.04601344228308734,max_entropy,True,math,0.5917874396135266,llama31_8b,182,0.6031400966183574
128,0.0760641191061549,max_entropy,True,math,0.5501915708812262,llama31_8b,177,0.5703703703703704
64,-0.0008481378286436535,deepconf_w32,True,math,0.6124396135265701,llama31_8b,182,0.6118357487922705
128,0.03875779589264557,deepconf_w32,True,math,0.5439335887611749,llama31_8b,177,0.5567049808429119
64,-0.016643758711777215,deepconf_w64,True,math,0.5917874396135265,llama31_8b,182,0.5849033816425121
128,0.016148327301740525,deepconf_w64,True,math,0.5401021711366539,llama31_8b,177,0.5446998722860792
64,0.015454053404271492,iu28_registered,True,math,0.6222222222222222,llama31_8b,182,0.6236714975845411
128,0.05150846363463486,iu28_registered,True,math,0.559514687100894,llama31_8b,177,0.5748403575989783
64,0.029217608252450136,step272_twohead,True,math,0.6297101449275362,llama31_8b,182,0.6322463768115942
128,0.21787801193743184,step272_twohead,True,math,0.5564495530012772,llama31_8b,177,0.5740740740740741
64,0.0013164342529616618,finalist_global_detector_local_locator,True,olympiadbench,0.5590347923681257,llama31_8b,191,0.5590347923681257
128,0.01783735914728802,finalist_global_detector_local_locator,True,olympiadbench,0.5750841750841751,llama31_8b,191,0.576094276094276
64,-0.02390244367506602,mean_entropy,True,olympiadbench,0.5171717171717172,llama31_8b,191,0.5140291806958475
128,-0.04722688009026268,mean_entropy,True,olympiadbench,0.5634118967452302,llama31_8b,191,0.555331088664422
64,0.012489485302002341,max_entropy,True,olympiadbench,0.5626262626262626,llama31_8b,191,0.5632996632996634
128,0.009965602121770204,max_entropy,True,olympiadbench,0.5460157126823794,llama31_8b,191,0.5464646464646464
64,-0.01481362755616657,deepconf_w32,True,olympiadbench,0.5122334455667789,llama31_8b,191,0.5108866442199775
128,-0.005507315280464092,deepconf_w32,True,olympiadbench,0.5482603815937149,llama31_8b,191,0.5479236812570146
64,-0.02390244367506602,deepconf_w64,True,olympiadbench,0.5171717171717172,llama31_8b,191,0.5140291806958475
128,-0.04517929090342129,deepconf_w64,True,olympiadbench,0.5489337822671156,llama31_8b,191,0.5437710437710438
64,-0.005012037091324027,iu28_registered,True,olympiadbench,0.6088664421997755,llama31_8b,191,0.6086419753086421
128,0.013369309961983343,iu28_registered,True,olympiadbench,0.6130190796857463,llama31_8b,191,0.6124579124579125
64,0.0014182820046725983,step272_twohead,True,olympiadbench,0.5968574635241302,llama31_8b,191,0.5969696969696969
128,0.06880782276375735,step272_twohead,True,olympiadbench,0.5865319865319866,llama31_8b,191,0.5869809203142536
64,0.10482448978423484,finalist_global_detector_local_locator,True,omnimath,0.4811768794161937,llama31_8b,186,0.5033012857639292
128,0.05435365218379416,finalist_global_detector_local_locator,True,omnimath,0.4975095563535271,llama31_8b,186,0.508977180586123
64,0.018304103539879043,mean_entropy,True,omnimath,0.5131472257616123,llama31_8b,186,0.5199814664658867
128,-0.008512985854062533,mean_entropy,True,omnimath,0.5104830302328275,llama31_8b,186,0.5072396617630024
64,0.09458302140306787,max_entropy,True,omnimath,0.5127997219969884,llama31_8b,186,0.535966639638596
128,0.08886171424262355,max_entropy,True,omnimath,0.4964670450596548,llama31_8b,186,0.5231090003475037
64,0.01387428688884298,deepconf_w32,True,omnimath,0.4982045638827754,llama31_8b,186,0.5029537819993051
128,0.014137343686596549,deepconf_w32,True,omnimath,0.49252866906058146,llama31_8b,186,0.4943820224719101
64,0.018304103539879043,deepconf_w64,True,omnimath,0.5131472257616123,llama31_8b,186,0.5199814664658867
128,-0.010536548512142986,deepconf_w64,True,omnimath,0.5198656318776786,llama31_8b,186,0.5133788949380285
64,0.03990499792714095,iu28_registered,True,omnimath,0.5213714815243832,llama31_8b,186,0.532723271168771
128,0.07173604144513226,iu28_registered,True,omnimath,0.5392100081084211,llama31_8b,186,0.5667786401019345
64,0.27906675579686196,step272_twohead,True,omnimath,0.5155797521139812,llama31_8b,186,0.5360824742268041
128,0.2395684530914738,step272_twohead,True,omnimath,0.520676473995135,llama31_8b,186,0.5380516622263407
