access_tier,base_candidate,calibration_f1,candidate,clean_abstention,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,locator,mean_absolute_step_error,n,primary,task,threshold,within_one
A,l_core5,0.29734085414987915,l_core5__peak,0.5405405405405406,0.7049589179884799,0.6325474410580794,0.14893617021276595,0.23352793994995832,gsm8k,historical_core5_replay,0.3404255319148936,peak,1.297872340425532,84,0.23352793994995832,local,1.4039478757978543,0.3829787234042553
A,l_core5,0.32547626735550533,l_core5__persistent_q90_3,0.6486486486486487,0.7049589179884799,0.6325474410580794,0.14893617021276595,0.24224945926459984,gsm8k,historical_core5_replay,0.14893617021276595,persistent_q90_3,1.2765957446808511,84,0.24224945926459984,local,1.6462534520690841,0.3191489361702128
A,l_core5,0.33804760262159367,l_core5__step_top5mean,0.5405405405405406,0.7049589179884799,0.6325474410580794,0.14893617021276595,0.23352793994995832,gsm8k,historical_core5_replay,0.3191489361702128,step_top5mean,1.2127659574468086,84,0.23352793994995832,local,1.4923111323993385,0.3829787234042553
A,gl_liu_v1_replay,0.32238805970149254,gl_liu_v1_replay,0.5135135135135135,0.785023601454642,0.7055779183438758,0.19148936170212766,0.27895595432300163,gsm8k,registered_incumbent_replay,,peak,,84,0.27895595432300163,local,-0.22789048417070168,0.3829787234042553
A,l_raw9__level,0.3497615262321145,l_raw9__level__peak,0.5945945945945946,0.7678893795988255,0.694652098907418,0.2765957446808511,0.3775577557755776,gsm8k,frozen_retrospective_candidate,0.3191489361702128,peak,1.1063829787234043,84,0.3775577557755776,local,1.811599853300323,0.48936170212765956
A,l_raw9__level,0.3972314173939211,l_raw9__level__persistent_q90_3,0.5945945945945946,0.7678893795988255,0.694652098907418,0.2765957446808511,0.3775577557755776,gsm8k,frozen_retrospective_candidate,0.19148936170212766,persistent_q90_3,1.0425531914893618,84,0.3775577557755776,local,1.811599853300323,0.5319148936170213
A,l_raw9__level,0.36946473833308485,l_raw9__level__step_top5mean,0.5945945945945946,0.7678893795988255,0.694652098907418,0.2553191489361702,0.3572395128552097,gsm8k,frozen_retrospective_candidate,0.2765957446808511,step_top5mean,1.127659574468085,84,0.3572395128552097,local,1.8212462374560596,0.44680851063829785
A,l_raw9__innovation,0.2975661375661376,l_raw9__innovation__peak,0.5675675675675675,0.6926078827373273,0.6658999424956873,0.19148936170212766,0.2863636363636364,gsm8k,frozen_retrospective_candidate,0.3617021276595745,peak,1.4680851063829787,84,0.2863636363636364,local,2.1171975520026955,0.3191489361702128
A,l_raw9__innovation,0.31323743332794574,l_raw9__innovation__persistent_q90_3,0.7027027027027027,0.6926078827373273,0.6658999424956873,0.14893617021276595,0.24577987846049965,gsm8k,frozen_retrospective_candidate,0.3404255319148936,persistent_q90_3,1.1063829787234043,84,0.24577987846049965,local,2.199874961767805,0.3404255319148936
A,l_raw9__innovation,0.3169488068529472,l_raw9__innovation__step_top5mean,0.5675675675675675,0.6926078827373273,0.6658999424956873,0.2765957446808511,0.37193460490463215,gsm8k,frozen_retrospective_candidate,0.23404255319148937,step_top5mean,1.2127659574468086,84,0.37193460490463215,local,2.1171975520026955,0.44680851063829785
A,l_raw9__shortlong,0.31567870922483343,l_raw9__shortlong__peak,0.4864864864864865,0.7362878415559402,0.6963772282921219,0.2127659574468085,0.29605263157894735,gsm8k,frozen_retrospective_candidate,0.2765957446808511,peak,1.3191489361702127,84,0.29605263157894735,local,1.7655944680211892,0.425531914893617
A,l_raw9__shortlong,0.23431187718825744,l_raw9__shortlong__persistent_q90_3,0.32432432432432434,0.7362878415559402,0.6963772282921219,0.1276595744680851,0.183206106870229,gsm8k,frozen_retrospective_candidate,0.02127659574468085,persistent_q90_3,1.7446808510638299,84,0.183206106870229,local,1.5607465400043707,0.3404255319148936
A,l_raw9__shortlong,0.3347544022242817,l_raw9__shortlong__step_top5mean,0.4864864864864865,0.7362878415559402,0.6963772282921219,0.2127659574468085,0.29605263157894735,gsm8k,frozen_retrospective_candidate,0.2553191489361702,step_top5mean,1.2765957446808511,84,0.29605263157894735,local,1.700580389567464,0.425531914893617
A,l_raw9__level_innovation,0.3207800941492939,l_raw9__level_innovation__peak,0.6486486486486487,0.6978551631844216,0.6848763657274295,0.23404255319148937,0.3439739413680782,gsm8k,frozen_retrospective_candidate,0.2978723404255319,peak,1.3191489361702127,84,0.3439739413680782,local,2.001864294532952,0.3404255319148936
A,l_raw9__level_innovation,0.35791335101679933,l_raw9__level_innovation__persistent_q90_3,0.5405405405405406,0.6978551631844216,0.6848763657274295,0.2765957446808511,0.36593947923997183,gsm8k,frozen_retrospective_candidate,0.2978723404255319,persistent_q90_3,1.0638297872340425,84,0.36593947923997183,local,1.953896706890102,0.48936170212765956
A,l_raw9__level_innovation,0.31513594519374866,l_raw9__level_innovation__step_top5mean,0.43243243243243246,0.6978551631844216,0.6848763657274295,0.3191489361702128,0.36725325172149964,gsm8k,frozen_retrospective_candidate,0.2765957446808511,step_top5mean,1.148936170212766,84,0.36725325172149964,local,1.8908911752202833,0.5531914893617021
A,l_raw9__level_shortlong,0.3450036469730124,l_raw9__level_shortlong__peak,0.43243243243243246,0.7487602272964181,0.694652098907418,0.2765957446808511,0.33738848337388483,gsm8k,frozen_retrospective_candidate,0.2553191489361702,peak,1.0638297872340425,84,0.33738848337388483,local,1.6064819333687521,0.48936170212765956
A,l_raw9__level_shortlong,0.3347544022242817,l_raw9__level_shortlong__persistent_q90_3,0.43243243243243246,0.7487602272964181,0.694652098907418,0.23404255319148937,0.3037100949094047,gsm8k,frozen_retrospective_candidate,0.0851063829787234,persistent_q90_3,1.4680851063829787,84,0.3037100949094047,local,1.6064819333687521,0.425531914893617
A,l_raw9__level_shortlong,0.36453549982338396,l_raw9__level_shortlong__step_top5mean,0.43243243243243246,0.7487602272964181,0.694652098907418,0.2765957446808511,0.33738848337388483,gsm8k,frozen_retrospective_candidate,0.2553191489361702,step_top5mean,1.2340425531914894,84,0.33738848337388483,local,1.6064819333687521,0.5106382978723404
A,l_raw9__level_innovation_shortlong,0.3353489132211146,l_raw9__level_innovation_shortlong__peak,0.6216216216216216,0.7447596389567533,0.6929269695227142,0.2127659574468085,0.31702274293590627,gsm8k,frozen_retrospective_candidate,0.3404255319148936,peak,1.3829787234042554,84,0.31702274293590627,local,1.8368270643987876,0.3617021276595745
A,l_raw9__level_innovation_shortlong,0.39488117001828155,l_raw9__level_innovation_shortlong__persistent_q90_3,0.6216216216216216,0.7447596389567533,0.6929269695227142,0.14893617021276595,0.24029850746268655,gsm8k,frozen_retrospective_candidate,0.19148936170212766,persistent_q90_3,1.425531914893617,84,0.24029850746268655,local,1.8368270643987876,0.3191489361702128
A,l_raw9__level_innovation_shortlong,0.3435203094777563,l_raw9__level_innovation_shortlong__step_top5mean,0.5135135135135135,0.7447596389567533,0.6929269695227142,0.3617021276595745,0.4244415243101182,gsm8k,frozen_retrospective_candidate,0.2127659574468085,step_top5mean,1.1063829787234043,84,0.4244415243101182,local,1.7285049455027386,0.5531914893617021
A,l_broad28__level,0.29593188268684956,l_broad28__level__peak,0.4594594594594595,0.7493087236876735,0.6802760207015526,0.2978723404255319,0.36142748671222474,gsm8k,frozen_retrospective_candidate,0.2765957446808511,peak,1.2340425531914894,84,0.36142748671222474,local,0.8509290538473913,0.44680851063829785
A,l_broad28__level,0.32613908872901676,l_broad28__level__persistent_q90_3,0.7567567567567568,0.7493087236876735,0.6802760207015526,0.0851063829787234,0.15300546448087432,gsm8k,frozen_retrospective_candidate,0.1276595744680851,persistent_q90_3,1.3617021276595744,84,0.15300546448087432,local,0.9410366217852153,0.2765957446808511
A,l_broad28__level,0.3766254615508107,l_broad28__level__step_top5mean,0.5405405405405406,0.7493087236876735,0.6802760207015526,0.23404255319148937,0.3266518188567186,gsm8k,frozen_retrospective_candidate,0.2765957446808511,step_top5mean,1.148936170212766,84,0.3266518188567186,local,0.8622288386749951,0.425531914893617
A,l_broad28__innovation,0.3241613267998492,l_broad28__innovation__peak,0.5135135135135135,0.7265374185399285,0.6866014951121334,0.23404255319148937,0.32153846153846155,gsm8k,frozen_retrospective_candidate,0.2978723404255319,peak,1.2127659574468086,84,0.32153846153846155,local,0.994150680977578,0.425531914893617
A,l_broad28__innovation,0.36363636363636365,l_broad28__innovation__persistent_q90_3,0.5135135135135135,0.7265374185399285,0.6866014951121334,0.2765957446808511,0.3595342066957788,gsm8k,frozen_retrospective_candidate,0.2127659574468085,persistent_q90_3,1.2340425531914894,84,0.3595342066957788,local,1.002934125448912,0.46808510638297873
A,l_broad28__innovation,0.3558155540261528,l_broad28__innovation__step_top5mean,0.5135135135135135,0.7265374185399285,0.6866014951121334,0.2553191489361702,0.3410620792819745,gsm8k,frozen_retrospective_candidate,0.2553191489361702,step_top5mean,1.2553191489361701,84,0.3410620792819745,local,1.0070673703936106,0.3829787234042553
A,l_broad28__shortlong,0.3848620910840282,l_broad28__shortlong__peak,0.4594594594594595,0.681482601718082,0.6532489936745256,0.2127659574468085,0.290846877673225,gsm8k,frozen_retrospective_candidate,0.2765957446808511,peak,1.2765957446808511,84,0.290846877673225,local,0.8925720950647604,0.425531914893617
A,l_broad28__shortlong,0.21237864077669905,l_broad28__shortlong__persistent_q90_3,0.32432432432432434,0.681482601718082,0.6532489936745256,0.2127659574468085,0.25695931477516065,gsm8k,frozen_retrospective_candidate,0.0425531914893617,persistent_q90_3,1.7659574468085106,84,0.25695931477516065,local,0.7769224482776061,0.40425531914893614
A,l_broad28__shortlong,0.3669232146053338,l_broad28__shortlong__step_top5mean,0.43243243243243246,0.681482601718082,0.6532489936745256,0.19148936170212766,0.2654377880184332,gsm8k,frozen_retrospective_candidate,0.2553191489361702,step_top5mean,1.3404255319148937,84,0.2654377880184332,local,0.8493994562005482,0.44680851063829785
A,l_broad28__level_innovation,0.35816572807723246,l_broad28__level_innovation__peak,0.5945945945945946,0.7211069115834594,0.6699252443933295,0.23404255319148937,0.33587786259541985,gsm8k,frozen_retrospective_candidate,0.2765957446808511,peak,1.446808510638298,84,0.33587786259541985,local,0.9419099700506235,0.3191489361702128
A,l_broad28__level_innovation,0.40328717090245014,l_broad28__level_innovation__persistent_q90_3,0.5945945945945946,0.7211069115834594,0.6699252443933295,0.2553191489361702,0.3572395128552097,gsm8k,frozen_retrospective_candidate,0.14893617021276595,persistent_q90_3,1.127659574468085,84,0.3572395128552097,local,0.9419099700506235,0.425531914893617
A,l_broad28__level_innovation,0.40889730241362987,l_broad28__level_innovation__step_top5mean,0.4594594594594595,0.7211069115834594,0.6699252443933295,0.2553191489361702,0.32823813354786807,gsm8k,frozen_retrospective_candidate,0.2765957446808511,step_top5mean,1.2340425531914894,84,0.32823813354786807,local,0.9288893340413618,0.425531914893617
A,l_broad28__level_shortlong,0.339622641509434,l_broad28__level_shortlong__peak,0.35135135135135137,0.6871220721385699,0.6584243818286372,0.2765957446808511,0.30952380952380953,gsm8k,frozen_retrospective_candidate,0.2553191489361702,peak,1.148936170212766,84,0.30952380952380953,local,0.751560274196413,0.48936170212765956
A,l_broad28__level_shortlong,0.2845849802371542,l_broad28__level_shortlong__persistent_q90_3,0.35135135135135137,0.6871220721385699,0.6584243818286372,0.23404255319148937,0.2809430255402751,gsm8k,frozen_retrospective_candidate,0.0851063829787234,persistent_q90_3,1.5106382978723405,84,0.2809430255402751,local,0.751560274196413,0.3617021276595745
A,l_broad28__level_shortlong,0.36390423572744013,l_broad28__level_shortlong__step_top5mean,0.40540540540540543,0.6871220721385699,0.6584243818286372,0.2553191489361702,0.3133159268929504,gsm8k,frozen_retrospective_candidate,0.2765957446808511,step_top5mean,1.2127659574468086,84,0.3133159268929504,local,0.7606740709849056,0.48936170212765956
A,l_broad28__level_innovation_shortlong,0.30295081967213117,l_broad28__level_innovation_shortlong__peak,0.32432432432432434,0.6743236999159268,0.6296722254169063,0.2765957446808511,0.29856459330143537,gsm8k,frozen_retrospective_candidate,0.2978723404255319,peak,1.3191489361702127,84,0.29856459330143537,local,0.7820516941600358,0.46808510638297873
