candidate,ci_high,ci_low,delta,family_losses,family_wins,reference,task
local_fusion__dufs_laplacian,0.0,-0.009961829959064234,-0.0029432641787992264,1,0,local_fusion__ordinary,local
local_fusion__equal,0.036873075545150354,-0.030002602017024337,0.0031176971829183497,0,1,local_fusion__ordinary,local
local_fusion__hierarchical,0.056511394620920564,-0.033949399508685266,0.009765253705966176,0,2,local_fusion__ordinary,local
local_fusion__temporal_laplacian,0.0,-0.01436779009925131,-0.005138154027042929,1,0,local_fusion__ordinary,local
local_fusion__uniform_laplacian,0.0,0.0,0.0,0,0,local_fusion__ordinary,local
local_fusion__upcr_compat,0.008196453389994633,-0.07271191283783505,-0.03157553761201942,1,1,local_fusion__ordinary,local
online_fusion__dufs_laplacian,0.0031345322493122243,-0.00139258223827389,0.0008294474395921236,0,2,online_fusion__ordinary,online
online_fusion__equal,0.0204708107225057,-0.025078223618287022,-0.00227895083740548,1,1,online_fusion__ordinary,online
online_fusion__hierarchical,0.004298774578070211,-0.043473616981990655,-0.020263888586249112,2,0,online_fusion__ordinary,online
online_fusion__uniform_laplacian,0.002808573580347049,-0.0011298223250508943,0.0007294074235857373,0,2,online_fusion__ordinary,online
online_fusion__upcr_compat,0.005817505945070663,-0.004043805433041803,0.0008951765594376049,1,1,online_fusion__ordinary,online
