candidate,ci_high,ci_low,delta,family_losses,family_wins,reference,task
global_local__w0.00,0.052258822320668204,-0.0798234505855733,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_local__w0.00,0.026939556902252144,-0.030739846226523537,-0.001330576553120133,1,1,step272_twohead,online
global_local__w0.25,0.05713897279570068,-0.07202440871027035,-0.009717980180002667,1,1,max_entropy__persistent_q90_3,local
global_local__w0.25,0.026114693309307182,-0.015114780880573416,0.005000923966040738,0,2,step272_twohead,online
global_local__w0.50,0.06378612024280601,-0.06788627948288924,-0.0021623414572410904,1,1,max_entropy__persistent_q90_3,local
global_local__w0.50,0.02587983370877126,-0.009320500366442677,0.008344800562690269,0,2,step272_twohead,online
global_local__w0.75,0.08280459938878848,-0.050236701496046324,0.016823257699283445,0,2,max_entropy__persistent_q90_3,local
global_local__w0.75,0.0268705233299189,-0.0143671777758022,0.005963824955900476,1,1,step272_twohead,online
global_local__w1.00,0.07817762183381836,-0.05518417892908218,0.010767701066023178,1,1,max_entropy__persistent_q90_3,local
global_local__w1.00,0.02918260561475156,-0.027403089068643145,0.0022750024450473028,1,1,step272_twohead,online
global_online__w0.00,0.052644005047013956,-0.08166211758660175,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_online__w0.00,0.029925340468217522,-0.034223845575305646,-0.002623907308807849,1,1,step272_twohead,online
global_online__w0.25,0.04592769872541409,-0.07405381080225724,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_online__w0.25,0.026485274635739298,-0.027176568966349676,-0.0002459721752777755,1,1,step272_twohead,online
global_online__w0.50,0.05214908551016566,-0.07468641570557562,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_online__w0.50,0.029276790742017826,-0.023090883827391575,0.0028073808670788236,1,1,step272_twohead,online
global_online__w0.75,0.05327898955769203,-0.07623662463641792,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_online__w0.75,0.03022164768098214,-0.022974766672614878,0.0028224776613895997,1,1,step272_twohead,online
global_online__w1.00,0.05230488011939501,-0.07889889222526003,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
global_online__w1.00,0.030495654731200392,-0.025194836763580336,0.0022750024450473028,1,1,step272_twohead,online
independent_heads,0.04962280153314904,-0.08099548218124618,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
independent_heads,0.029217690144707844,-0.03396337275018868,-0.002623907308807849,1,1,step272_twohead,online
shared_local,0.05027031999199734,-0.08031174447012536,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
shared_local,0.027067347754306182,-0.02990813587821439,-0.001330576553120133,1,1,step272_twohead,online
three_signal__g0.00__l0.00__o1.00,0.06569350297336833,-0.06895799923147135,-0.0024739732333284026,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.00__l0.00__o1.00,0.028996695866476116,-0.034757874372575936,-0.002623907308807849,1,1,step272_twohead,online
three_signal__g0.00__l0.25__o0.75,0.06311588766700088,-0.06886428005402172,-0.0037050157157151875,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.00__l0.25__o0.75,0.023501096282745194,-0.025850515139731144,-0.000882053961305862,1,1,step272_twohead,online
three_signal__g0.00__l0.50__o0.50,0.05533404841388879,-0.07286720196789104,-0.010194835276537445,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.00__l0.50__o0.50,0.024405975149988417,-0.020136370532051955,0.0017651847568914136,0,2,step272_twohead,online
three_signal__g0.00__l0.75__o0.25,0.04892192601085539,-0.07905281747256196,-0.014647379018953521,2,0,max_entropy__persistent_q90_3,local
three_signal__g0.00__l0.75__o0.25,0.026123522541308623,-0.022884252684433674,0.0014588042899726927,1,1,step272_twohead,online
three_signal__g0.00__l1.00__o0.00,0.05336665234944039,-0.07968017741315553,-0.012658706066947356,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.00__l1.00__o0.00,0.02823352594023035,-0.030243253803090894,-0.001330576553120133,1,1,step272_twohead,online
three_signal__g0.25__l0.00__o0.75,0.07576687906590299,-0.05707956600229304,0.00985754448764739,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.25__l0.00__o0.75,0.02694971772053491,-0.027947798803497813,-0.0002459721752777755,1,1,step272_twohead,online
three_signal__g0.25__l0.25__o0.50,0.06481000187860193,-0.06958552476945007,-0.0026897233564970036,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.25__l0.25__o0.50,0.024308616361373162,-0.015776607599597127,0.0044868622839596695,1,1,step272_twohead,online
three_signal__g0.25__l0.50__o0.25,0.06650848333307367,-0.06699583000149205,-0.00022139303984625158,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.25__l0.50__o0.25,0.023529106891911653,-0.012482356111723299,0.005094872478328627,0,2,step272_twohead,online
three_signal__g0.25__l0.75__o0.00,0.05496890018536993,-0.07484035873805638,-0.009717980180002667,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.25__l0.75__o0.00,0.025586770016169543,-0.014983448652830128,0.005000923966040738,0,2,step272_twohead,online
three_signal__g0.50__l0.00__o0.50,0.07328424539175947,-0.057602033584377293,0.008219872100727443,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.50__l0.00__o0.50,0.029496990838428522,-0.023493805446188887,0.0028073808670788236,1,1,step272_twohead,online
three_signal__g0.50__l0.25__o0.25,0.0751835632390514,-0.05680234989555154,0.009083999273998139,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.50__l0.25__o0.25,0.024897445269486573,-0.013826658264578478,0.006016895994362281,1,1,step272_twohead,online
three_signal__g0.50__l0.50__o0.00,0.06460182518113097,-0.06859740855944983,-0.0021623414572410904,1,1,max_entropy__persistent_q90_3,local
three_signal__g0.50__l0.50__o0.00,0.025115137617790006,-0.009553497552138098,0.008344800562690269,0,2,step272_twohead,online
three_signal__g0.75__l0.00__o0.25,0.08365968696500625,-0.05154310220921635,0.017515262899222145,0,2,max_entropy__persistent_q90_3,local
three_signal__g0.75__l0.00__o0.25,0.028695046483539426,-0.024157619846212803,0.0028224776613895997,1,1,step272_twohead,online
three_signal__g0.75__l0.25__o0.00,0.08187802498476004,-0.049659148862656904,0.016823257699283445,0,2,max_entropy__persistent_q90_3,local
three_signal__g0.75__l0.25__o0.00,0.02630811440073102,-0.014898586765580764,0.005963824955900476,1,1,step272_twohead,online
three_signal__g1.00__l0.00__o0.00,0.07737271905384582,-0.056222416593918856,0.010767701066023178,1,1,max_entropy__persistent_q90_3,local
three_signal__g1.00__l0.00__o0.00,0.03196403537622233,-0.02511188897907652,0.0022750024450473028,1,1,step272_twohead,online
