auprc,auroc,budget,calibration_f1,candidate,clean_abstention,exact_error,f1,family,n,primary,task,threshold,variant,within_one
,,,0.31598913973295645,local_fusion__equal,0.5555555555555556,0.26277372262773724,0.356788899900892,olympiadbench,200,0.356788899900892,local,1.8110059302420294,equal,0.48175182481751827
,,,0.3026016461926625,local_fusion__ordinary,0.47619047619047616,0.2773722627737226,0.3505535055350553,olympiadbench,200,0.3505535055350553,local,1.375329843370801,ordinary,0.5255474452554745
,,,0.2982655801884645,local_fusion__upcr_compat,0.38095238095238093,0.2116788321167883,0.2721407624633431,olympiadbench,200,0.2721407624633431,local,2.2685338734131664,upcr_compat,0.45255474452554745
,,,0.3014176848737707,local_fusion__uniform_laplacian,0.47619047619047616,0.2773722627737226,0.3505535055350553,olympiadbench,200,0.3505535055350553,local,1.2675504558025374,uniform_laplacian,0.5328467153284672
,,,0.3014176848737707,local_fusion__dufs_laplacian,0.47619047619047616,0.27007299270072993,0.34466697717745687,olympiadbench,200,0.34466697717745687,local,1.2754206342322254,dufs_laplacian,0.5328467153284672
,,,0.3637657946253782,local_fusion__hierarchical,0.5396825396825397,0.26277372262773724,0.3534507652324574,olympiadbench,200,0.3534507652324574,local,1.2658565897761733,hierarchical,0.49635036496350365
,,,0.30407395287958117,local_fusion__temporal_laplacian,0.47619047619047616,0.2773722627737226,0.3505535055350553,olympiadbench,200,0.3505535055350553,local,1.2516677226756014,temporal_laplacian,0.5328467153284672
0.6466723368632729,0.632452981192477,64,,online_fusion__equal,,,,olympiadbench,200,0.632452981192477,online_budget,,equal,
0.6187753828808739,0.6331532613045218,128,,online_fusion__equal,,,,olympiadbench,200,0.6331532613045218,online_budget,,equal,
,,,,online_fusion__equal,,,,olympiadbench,0,0.6328031212484994,online,,equal,
0.6445045791307982,0.6285514205682273,64,,online_fusion__ordinary,,,,olympiadbench,200,0.6285514205682273,online_budget,,ordinary,
0.616269214198063,0.6305522208883554,128,,online_fusion__ordinary,,,,olympiadbench,200,0.6305522208883554,online_budget,,ordinary,
