candidate,primary,task,variant
local_fusion__dufs_laplacian,0.32509069023481896,local,dufs_laplacian
local_fusion__equal,0.3311516515965366,local,equal
local_fusion__hierarchical,0.3377992081195844,local,hierarchical
local_fusion__ordinary,0.3280339544136182,local,ordinary
local_fusion__temporal_laplacian,0.3228958003865753,local,temporal_laplacian
local_fusion__uniform_laplacian,0.3280339544136182,local,uniform_laplacian
local_fusion__upcr_compat,0.2964584168015988,local,upcr_compat
online_fusion__dufs_laplacian,0.5728341463221,online,dufs_laplacian
online_fusion__equal,0.5697257480451023,online,equal
online_fusion__hierarchical,0.5517408102962587,online,hierarchical
online_fusion__ordinary,0.5720046988825078,online,ordinary
online_fusion__uniform_laplacian,0.5727341063060936,online,uniform_laplacian
online_fusion__upcr_compat,0.5728998754419454,online,upcr_compat
