candidate,ci_high,ci_low,delta,family_losses,family_wins,reference
deepconf_w32,0.02952957099197661,-0.06462844758339423,-0.017938952868881475,2,0,step272_twohead
deepconf_w64,0.022431238149567365,-0.0674033920675313,-0.023331835831618797,2,0,step272_twohead
iu28_registered,0.013147218872490209,-0.044718609244100906,-0.015243014906014263,2,0,step272_twohead
max_entropy,-0.0017697520642127502,-0.06827035342114067,-0.03571446698532943,1,1,step272_twohead
mean_entropy,0.0204132648808542,-0.06836723240736992,-0.02376194695760614,2,0,step272_twohead
o_broad28__fast_slow,0.04913580033069663,-0.02753250122326896,0.01079868547026308,1,1,step272_twohead
o_broad28__level_fast_slow_area_persistence,0.06505950966303546,-0.0398678838389095,0.01206894721235835,1,1,step272_twohead
o_broad28__level_slow,0.03842602145581807,-0.03491704642276013,0.0017976335492388973,1,1,step272_twohead
o_broad28__shortlong_innovation_recovery,0.030104390142606432,-0.09792352971522976,-0.03408826659346803,2,0,step272_twohead
o_broad28__slow_area_persistence,0.06814157304611908,-0.05526241165576083,0.006184113862701901,1,1,step272_twohead
o_family6__fast_slow,0.047815846673884305,-0.026242619551906012,0.012103483592720288,1,1,step272_twohead
o_family6__level_fast_slow_area_persistence,0.049729687363793885,-0.046323002805629926,0.0023963573737005306,1,1,step272_twohead
o_family6__level_slow,0.0425820431181983,-0.02506971018221939,0.00800977405856984,1,1,step272_twohead
o_family6__shortlong_innovation_recovery,0.010947045944760597,-0.11037760575177712,-0.04916184319068184,2,0,step272_twohead
o_family6__slow_area_persistence,0.04983511404620936,-0.06436724459942622,-0.007442004208627395,1,1,step272_twohead
o_raw9__fast_slow,0.049035807905419254,-0.028025104027040688,0.011074017449204943,1,1,step272_twohead
o_raw9__level_fast_slow_area_persistence,0.0531736131800277,-0.05286208967156875,0.000517266387951909,1,1,step272_twohead
o_raw9__level_slow,0.03731141509473392,-0.041542328610361265,-0.0012072905789285437,1,1,step272_twohead
o_raw9__shortlong_innovation_recovery,0.037122361272348706,-0.06363334245430076,-0.01329338604408159,2,0,step272_twohead
o_raw9__slow_area_persistence,0.06230826943315773,-0.07443142586055757,-0.006288627885257636,1,1,step272_twohead
