candidate,ci_high,ci_low,delta,family_losses,family_wins,reference
gl_liu_v1_replay,0.005465709459502246,-0.12513420660474292,-0.05641130077871015,2,0,step272_twohead_replay
l_broad28__innovation__peak,-0.0009989036106974147,-0.1699429970834026,-0.08165094966555012,2,0,step272_twohead_replay
l_broad28__innovation__persistent_q90_3,0.015063869362675727,-0.1627433289178954,-0.07541137074148724,2,0,step272_twohead_replay
l_broad28__innovation__step_top5mean,0.006531217134180905,-0.17593096202677533,-0.0846653891397258,2,0,step272_twohead_replay
l_broad28__level__peak,0.04063888400611603,-0.09221924656416326,-0.026851639352603568,2,0,step272_twohead_replay
l_broad28__level__persistent_q90_3,-0.02635220724742026,-0.2380732578070422,-0.13707288203492737,2,0,step272_twohead_replay
l_broad28__level__step_top5mean,0.01799396270665509,-0.12355422956853233,-0.05024970484700522,2,0,step272_twohead_replay
l_broad28__level_innovation__peak,0.01785476061838308,-0.15280072698178407,-0.06967350113257603,2,0,step272_twohead_replay
l_broad28__level_innovation__persistent_q90_3,0.033048638899779735,-0.1572514153575752,-0.06239652874397156,2,0,step272_twohead_replay
l_broad28__level_innovation__step_top5mean,0.01965854691026614,-0.14335917714464508,-0.06266778837155985,2,0,step272_twohead_replay
l_broad28__level_innovation_shortlong__peak,-0.012324909067952559,-0.16254520282747614,-0.08425511235937873,2,0,step272_twohead_replay
l_broad28__level_innovation_shortlong__persistent_q90_3,-0.043471288953645354,-0.2275567022679606,-0.1371770821145707,2,0,step272_twohead_replay
l_broad28__level_innovation_shortlong__step_top5mean,-0.005054369159169767,-0.18523697536035114,-0.09298265946925661,2,0,step272_twohead_replay
l_broad28__level_shortlong__peak,0.007665897730004777,-0.14945856197484172,-0.0699079593073618,2,0,step272_twohead_replay
l_broad28__level_shortlong__persistent_q90_3,-0.014399704738629443,-0.18679632559782386,-0.09907516471772976,2,0,step272_twohead_replay
l_broad28__level_shortlong__step_top5mean,0.013742073044883256,-0.14285920049088,-0.06044124504639217,2,0,step272_twohead_replay
l_broad28__shortlong__peak,0.005642302530807346,-0.16567909184978144,-0.07825465831881778,2,0,step272_twohead_replay
l_broad28__shortlong__persistent_q90_3,-0.03568601280730849,-0.2106694934509701,-0.12582707857400866,2,0,step272_twohead_replay
l_broad28__shortlong__step_top5mean,-0.003959666495091217,-0.1717076238154023,-0.08706511720745452,2,0,step272_twohead_replay
l_core5__peak,-0.027381560528365104,-0.18953650952909215,-0.1087117637470244,2,0,step272_twohead_replay
l_core5__persistent_q90_3,0.028588149041562167,-0.17092479165070013,-0.0722731086575141,2,0,step272_twohead_replay
l_core5__step_top5mean,-0.007281001900223175,-0.1733582557027115,-0.08918134309926008,2,0,step272_twohead_replay
l_family6__innovation__peak,0.04615482225143356,-0.13860008676568097,-0.044768966126797316,2,0,step272_twohead_replay
l_family6__innovation__persistent_q90_3,-0.014865990074907921,-0.19687018659249741,-0.10749498068224593,2,0,step272_twohead_replay
l_family6__innovation__step_top5mean,0.02819526708204479,-0.15024595751469805,-0.05995581512067706,2,0,step272_twohead_replay
l_family6__level__peak,0.022660023614847726,-0.10530175673245522,-0.04465695042412704,2,0,step272_twohead_replay
l_family6__level__persistent_q90_3,0.057896319630148976,-0.1130891697754459,-0.02799891567462362,2,0,step272_twohead_replay
l_family6__level__step_top5mean,0.07046182286922205,-0.07076943710253773,0.0013778186122922753,0,2,step272_twohead_replay
l_family6__level_innovation__peak,0.034241199335284384,-0.13099626212320892,-0.04632924589396391,2,0,step272_twohead_replay
l_family6__level_innovation__persistent_q90_3,0.00813033273852102,-0.18063939879290827,-0.08742679189498681,2,0,step272_twohead_replay
l_family6__level_innovation__step_top5mean,0.06775537532673842,-0.09975635494563141,-0.015974104100361042,2,0,step272_twohead_replay
l_family6__level_innovation_shortlong__peak,0.08483263074017322,-0.0776047866637245,0.004424386091159943,1,1,step272_twohead_replay
l_family6__level_innovation_shortlong__persistent_q90_3,-0.018767514929409913,-0.21421186055366723,-0.11523680318999945,2,0,step272_twohead_replay
l_family6__level_innovation_shortlong__step_top5mean,0.039067099103228205,-0.12213058427302215,-0.040708357535444356,2,0,step272_twohead_replay
l_family6__level_shortlong__peak,0.06427005948387696,-0.09558402397995681,-0.013302981372626477,1,1,step272_twohead_replay
l_family6__level_shortlong__persistent_q90_3,0.014641045389761482,-0.1555227373393205,-0.07290768916197639,2,0,step272_twohead_replay
l_family6__level_shortlong__step_top5mean,0.029601131370194413,-0.1232907649920252,-0.04656396149336195,2,0,step272_twohead_replay
l_family6__shortlong__peak,0.039535654910896,-0.13427679046714502,-0.04809849244772141,2,0,step272_twohead_replay
l_family6__shortlong__persistent_q90_3,-0.037364863473939504,-0.21061146740622896,-0.12563443155672116,2,0,step272_twohead_replay
l_family6__shortlong__step_top5mean,0.041507845450258804,-0.12527760070777338,-0.039811740916712274,2,0,step272_twohead_replay
l_raw7_opened_drop__level__peak,0.004796251309524081,-0.1031973817409448,-0.04765524409316374,2,0,step272_twohead_replay
l_raw7_opened_drop__level__persistent_q90_3,0.029946045586333105,-0.12314557624762815,-0.044350097278153144,2,0,step272_twohead_replay
l_raw7_opened_drop__level__step_top5mean,0.04945092717572295,-0.0951828843475749,-0.01991593903053651,2,0,step272_twohead_replay
l_raw9__innovation__peak,-0.005050719632255561,-0.17224455838959146,-0.08709815019294245,2,0,step272_twohead_replay
l_raw9__innovation__persistent_q90_3,-0.013878940993605409,-0.19898602728442444,-0.10389691591524407,2,0,step272_twohead_replay
l_raw9__innovation__step_top5mean,0.05008327914209904,-0.1122715934812502,-0.03267930424885915,2,0,step272_twohead_replay
l_raw9__level__peak,0.0130529954285784,-0.03979433458420102,-0.011388119553898263,1,1,step272_twohead_replay
l_raw9__level__persistent_q90_3,0.06651494995564214,-0.0792891672612653,-0.003507254523209352,1,1,step272_twohead_replay
l_raw9__level__step_top5mean,0.06715222261002983,-0.08202471294155525,-0.005799871852962629,1,1,step272_twohead_replay
l_raw9__level_innovation__peak,0.027525347231322158,-0.13702266441638175,-0.05169112647139118,2,0,step272_twohead_replay
l_raw9__level_innovation__persistent_q90_3,0.047083256353570496,-0.12369662878157821,-0.03681427159668521,2,0,step272_twohead_replay
l_raw9__level_innovation__step_top5mean,0.038498440064258045,-0.1156977378323155,-0.04005147129468045,2,0,step272_twohead_replay
l_raw9__level_innovation_shortlong__peak,0.005682382622481464,-0.16163518274602878,-0.07744844402848479,2,0,step272_twohead_replay
l_raw9__level_innovation_shortlong__persistent_q90_3,-0.016766730718070087,-0.21165134263416635,-0.11581056176509465,2,0,step272_twohead_replay
l_raw9__level_innovation_shortlong__step_top5mean,0.07571880981886309,-0.08085970203555676,-0.0037630510336493783,1,1,step272_twohead_replay
l_raw9__level_shortlong__peak,0.01806883552845627,-0.13718112860398202,-0.05990908328268427,2,0,step272_twohead_replay
l_raw9__level_shortlong__persistent_q90_3,0.01650734226223723,-0.16893320896468647,-0.07402206557702747,2,0,step272_twohead_replay
l_raw9__level_shortlong__step_top5mean,0.02894730631261744,-0.1207245909712163,-0.04488137258842212,2,0,step272_twohead_replay
l_raw9__shortlong__peak,0.02389504553937462,-0.15168623034997275,-0.06424783221751812,2,0,step272_twohead_replay
l_raw9__shortlong__persistent_q90_3,-0.061986203200855815,-0.24542006369261812,-0.15533367397570375,2,0,step272_twohead_replay
l_raw9__shortlong__step_top5mean,0.012403277102748854,-0.15504161932471308,-0.07204092229963963,2,0,step272_twohead_replay
max_entropy__peak,-7.53483535007649e-05,-0.10638783555044541,-0.05182527166304385,2,0,step272_twohead_replay
max_entropy__persistent_q90_3,0.06719192499857118,-0.08566083500214873,-0.009948183487105244,2,0,step272_twohead_replay
max_entropy__step_top5mean,0.06386990126137408,-0.06952867107271266,-0.004713975450108432,2,0,step272_twohead_replay
mind_the_gap,-0.004034457658501708,-0.13509612498104814,-0.06930083084956509,2,0,step272_twohead_replay
