access_tier,base_candidate,candidate,families,fidelity,locator,primary
A,gl_liu_v1_replay,gl_liu_v1_replay,2,registered_incumbent_replay,peak,0.29392254872081897
A,l_broad28__innovation,l_broad28__innovation__peak,2,frozen_retrospective_candidate,peak,0.26868289983397897
A,l_broad28__innovation,l_broad28__innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.2749224787580419
A,l_broad28__innovation,l_broad28__innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2656684603598033
A,l_broad28__level,l_broad28__level__peak,2,frozen_retrospective_candidate,peak,0.3234822101469256
A,l_broad28__level,l_broad28__level__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.21326096746460174
A,l_broad28__level,l_broad28__level__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.30008414465252387
A,l_broad28__level_innovation,l_broad28__level_innovation__peak,2,frozen_retrospective_candidate,peak,0.2806603483669531
A,l_broad28__level_innovation,l_broad28__level_innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.28793732075555756
A,l_broad28__level_innovation,l_broad28__level_innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2876660611279693
A,l_broad28__level_innovation_shortlong,l_broad28__level_innovation_shortlong__peak,2,frozen_retrospective_candidate,peak,0.2660787371401504
A,l_broad28__level_innovation_shortlong,l_broad28__level_innovation_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.21315676738495842
A,l_broad28__level_innovation_shortlong,l_broad28__level_innovation_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2573511900302725
A,l_broad28__level_shortlong,l_broad28__level_shortlong__peak,2,frozen_retrospective_candidate,peak,0.28042589019216735
A,l_broad28__level_shortlong,l_broad28__level_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.25125868478179936
A,l_broad28__level_shortlong,l_broad28__level_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2898926044531369
A,l_broad28__shortlong,l_broad28__shortlong__peak,2,frozen_retrospective_candidate,peak,0.27207919118071133
A,l_broad28__shortlong,l_broad28__shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.22450677092552046
A,l_broad28__shortlong,l_broad28__shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2632687322920746
A,l_core5,l_core5__peak,2,historical_core5_replay,peak,0.2416220857525047
A,l_core5,l_core5__persistent_q90_3,2,historical_core5_replay,persistent_q90_3,0.27806074084201504
A,l_core5,l_core5__step_top5mean,2,historical_core5_replay,step_top5mean,0.26115250640026905
A,l_family6__innovation,l_family6__innovation__peak,2,frozen_retrospective_candidate,peak,0.3055648833727318
A,l_family6__innovation,l_family6__innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.24283886881728317
A,l_family6__innovation,l_family6__innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.29037803437885207
A,l_family6__level,l_family6__level__peak,2,frozen_retrospective_candidate,peak,0.3056768990754021
A,l_family6__level,l_family6__level__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.3223349338249055
A,l_family6__level,l_family6__level__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.3517116681118214
A,l_family6__level_innovation,l_family6__level_innovation__peak,2,frozen_retrospective_candidate,peak,0.3040046036055652
A,l_family6__level_innovation,l_family6__level_innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.2629070576045423
A,l_family6__level_innovation,l_family6__level_innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.3343597453991681
A,l_family6__level_innovation_shortlong,l_family6__level_innovation_shortlong__peak,2,frozen_retrospective_candidate,peak,0.3547582355906891
A,l_family6__level_innovation_shortlong,l_family6__level_innovation_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.23509704630952966
A,l_family6__level_innovation_shortlong,l_family6__level_innovation_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.30962549196408473
A,l_family6__level_shortlong,l_family6__level_shortlong__peak,2,frozen_retrospective_candidate,peak,0.33703086812690264
A,l_family6__level_shortlong,l_family6__level_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.27742616033755274
A,l_family6__level_shortlong,l_family6__level_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.30376988800616717
A,l_family6__shortlong,l_family6__shortlong__peak,2,frozen_retrospective_candidate,peak,0.3022353570518077
A,l_family6__shortlong,l_family6__shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.22469941794280796
A,l_family6__shortlong,l_family6__shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.3105221085828168
A,l_raw7_opened_drop__level,l_raw7_opened_drop__level__peak,2,frozen_retrospective_candidate,peak,0.3026786054063654
A,l_raw7_opened_drop__level,l_raw7_opened_drop__level__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.30598375222137597
A,l_raw7_opened_drop__level,l_raw7_opened_drop__level__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.3304179104689926
A,l_raw9__innovation,l_raw9__innovation__peak,2,frozen_retrospective_candidate,peak,0.26323569930658663
A,l_raw9__innovation,l_raw9__innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.24643693358428503
A,l_raw9__innovation,l_raw9__innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.31765454525066994
A,l_raw9__level,l_raw9__level__peak,2,frozen_retrospective_candidate,peak,0.3389457299456309
A,l_raw9__level,l_raw9__level__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.34682659497631974
A,l_raw9__level,l_raw9__level__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.34453397764656646
A,l_raw9__level_innovation,l_raw9__level_innovation__peak,2,frozen_retrospective_candidate,peak,0.29864272302813794
A,l_raw9__level_innovation,l_raw9__level_innovation__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.3135195779028439
A,l_raw9__level_innovation,l_raw9__level_innovation__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.31028237820484866
A,l_raw9__level_innovation_shortlong,l_raw9__level_innovation_shortlong__peak,2,frozen_retrospective_candidate,peak,0.27288540547104434
A,l_raw9__level_innovation_shortlong,l_raw9__level_innovation_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.23452328773443448
A,l_raw9__level_innovation_shortlong,l_raw9__level_innovation_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.34657079846587974
A,l_raw9__level_shortlong,l_raw9__level_shortlong__peak,2,frozen_retrospective_candidate,peak,0.2904247662168449
A,l_raw9__level_shortlong,l_raw9__level_shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.27631178392250166
A,l_raw9__level_shortlong,l_raw9__level_shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.305452476911107
A,l_raw9__shortlong,l_raw9__shortlong__peak,2,frozen_retrospective_candidate,peak,0.286086017282011
A,l_raw9__shortlong,l_raw9__shortlong__persistent_q90_3,2,frozen_retrospective_candidate,persistent_q90_3,0.19500017552382537
A,l_raw9__shortlong,l_raw9__shortlong__step_top5mean,2,frozen_retrospective_candidate,step_top5mean,0.2782929271998895
A,max_entropy,max_entropy__peak,2,transparent_same_trace_baseline,peak,0.29850857783648527
A,max_entropy,max_entropy__persistent_q90_3,2,transparent_same_trace_baseline,persistent_q90_3,0.34038566601242387
A,max_entropy,max_entropy__step_top5mean,2,transparent_same_trace_baseline,step_top5mean,0.3456198740494207
A,mind_the_gap,mind_the_gap,2,protocol_reproduction,paper_evidence_drop,0.281033018649964
B,qwen3_judge_control,qwen3_judge_control,2,exact_local_competitor_run,native_prediction,0.11178167347689806
B,qwen72b_critic,qwen72b_critic,2,critic_protocol_different_model,native_prediction,0.6847216999402623
B,qwen_prm,qwen_prm,2,exact_local_competitor_run,native_prediction,0.8100299464338436
A,step272_twohead_replay,step272_twohead_replay,2,registered_incumbent_replay,peak,0.3503338494995291
