access_tier,auprc,auroc,budget,candidate,family,n,n_error,spearman_prefix_final,spearman_score_length
A,0.6301113747546337,0.5077630822311673,16,deepconf_w32,gsm8k,84,47,0.08213020147818165,0.03585241887799475
A,0.6097839672651969,0.5261644623346751,32,deepconf_w32,gsm8k,84,47,0.5485471296952515,0.284186866158587
A,0.6371576721302987,0.547441058079356,64,deepconf_w32,gsm8k,84,47,0.7116533360332085,0.386053905506654
A,0.6881778016825804,0.5974025974025974,128,deepconf_w32,gsm8k,79,44,0.7587147030185005,0.23813233389147853
A,0.7817408565605428,0.57397504456328,256,deepconf_w32,gsm8k,50,33,0.7811284513805522,-0.09283004412986152
A,nan,nan,512,deepconf_w32,gsm8k,3,3,1.0,0.5
A,0.6301113747546337,0.5077630822311673,16,deepconf_w64,gsm8k,84,47,0.03693429178900476,0.03585241887799475
A,0.6097839672651969,0.5261644623346751,32,deepconf_w64,gsm8k,84,47,0.5150551786979852,0.284186866158587
A,0.6619227473081534,0.5796434732604945,64,deepconf_w64,gsm8k,84,47,0.7010833248962236,0.330447725196587
A,0.6816541401798795,0.5967532467532467,128,deepconf_w64,gsm8k,79,44,0.7880720545277508,0.22934417476912894
A,0.7656670830981198,0.5401069518716577,256,deepconf_w64,gsm8k,50,33,0.7648979591836734,-0.09796859287372867
A,nan,nan,512,deepconf_w64,gsm8k,3,3,1.0,0.5
A,0.5680412669815924,0.5020126509488212,16,iu28_registered,gsm8k,84,47,0.19514022476460463,0.032936435642506895
A,0.575750984363769,0.518688901667625,32,iu28_registered,gsm8k,84,47,0.4550572036043333,0.1161432072718096
A,0.6138937771862555,0.5347901092581944,64,iu28_registered,gsm8k,84,47,0.5257871823428167,0.26314723711919896
A,0.7062497477793983,0.6337662337662336,128,iu28_registered,gsm8k,79,44,0.7827409931840311,0.24644578635763476
A,0.8039623862264099,0.6559714795008913,256,iu28_registered,gsm8k,50,33,0.8743817527010804,0.20194016325197503
A,nan,nan,512,iu28_registered,gsm8k,3,3,1.0,0.5
A,0.564236303794764,0.45543415756181715,16,max_entropy,gsm8k,84,47,0.1607168168472208,-0.01941963835300591
A,0.581304879521553,0.47843588269120185,32,max_entropy,gsm8k,84,47,0.4554824339374304,0.12595427586621144
A,0.5913860735760064,0.4761357101782634,64,max_entropy,gsm8k,84,47,0.48939961526779385,0.1893364114709127
A,0.6638583870866315,0.561038961038961,128,max_entropy,gsm8k,79,44,0.7020934761441091,0.16015872262032682
A,0.7894710072022655,0.6096256684491979,256,max_entropy,gsm8k,50,33,0.7273469387755102,0.09960140275495748
A,nan,nan,512,max_entropy,gsm8k,3,3,1.0,0.5
A,0.6301113747546337,0.5077630822311673,16,mean_entropy,gsm8k,84,47,0.11080287536701428,0.03585241887799475
A,0.6097839672651969,0.5261644623346751,32,mean_entropy,gsm8k,84,47,0.47204616786473624,0.284186866158587
A,0.6619227473081534,0.5796434732604945,64,mean_entropy,gsm8k,84,47,0.5474536802672876,0.330447725196587
A,0.6901089437882122,0.5818181818181818,128,mean_entropy,gsm8k,79,44,0.774902629016553,0.20636350382315105
A,0.7950508297445166,0.588235294117647,256,mean_entropy,gsm8k,50,33,0.8689075630252101,0.03222398324425095
A,nan,nan,512,mean_entropy,gsm8k,3,3,1.0,0.5
A,0.6218942346326295,0.554916618746406,16,o_broad28__fast_slow,gsm8k,84,47,0.2876986939354055,0.06695624005653186
A,0.6540719060069167,0.5715928694652098,32,o_broad28__fast_slow,gsm8k,84,47,0.5566265060240965,0.22300184292229153
A,0.6799709440443014,0.6227717078780908,64,o_broad28__fast_slow,gsm8k,84,47,0.6763997165131113,0.35876718738290486
A,0.7054834218956649,0.6493506493506493,128,o_broad28__fast_slow,gsm8k,79,44,0.7606621226874392,0.2260577440724054
A,0.7812864244967879,0.6131907308377896,256,o_broad28__fast_slow,gsm8k,50,33,0.8013925570228091,-0.00859626378646933
A,nan,nan,512,o_broad28__fast_slow,gsm8k,3,3,1.0,0.5
A,0.6277836378511704,0.530764807360552,16,o_broad28__level_fast_slow_area_persistence,gsm8k,84,47,0.3062265870203503,0.023155741873474724
A,0.679930718193545,0.5917193789534215,32,o_broad28__level_fast_slow_area_persistence,gsm8k,84,47,0.6840741115723398,0.20216471271870126
A,0.7221255864256387,0.643473260494537,64,o_broad28__level_fast_slow_area_persistence,gsm8k,84,47,0.8400931456920119,0.3156551852415601
A,0.7327334497846987,0.6636363636363636,128,o_broad28__level_fast_slow_area_persistence,gsm8k,79,44,0.9244888023369037,0.28908418165623667
A,0.7624112521551364,0.5739750445632799,256,o_broad28__level_fast_slow_area_persistence,gsm8k,50,33,0.8911884753901559,0.10536426115929445
A,nan,nan,512,o_broad28__level_fast_slow_area_persistence,gsm8k,3,3,1.0,0.5
A,0.6190905816060761,0.544565842438183,16,o_broad28__level_slow,gsm8k,84,47,0.2864230029361143,0.06729036313559818
A,0.6608966361991981,0.5704427832087406,32,o_broad28__level_slow,gsm8k,84,47,0.5518882251695859,0.21643075570065398
A,0.6929168722247143,0.6135710178263369,64,o_broad28__level_slow,gsm8k,84,47,0.67512402551382,0.3669785151745043
A,0.705998356557509,0.6448051948051948,128,o_broad28__level_slow,gsm8k,79,44,0.7449123661148979,0.23019621235716833
A,0.763229808475884,0.5793226381461676,256,o_broad28__level_slow,gsm8k,50,33,0.7642256902761104,-0.05662008382261083
A,nan,nan,512,o_broad28__level_slow,gsm8k,3,3,1.0,0.5
