ablation,clean_abstention,detector_unchanged,exact_error,f1,family,model,n,primary,task,within_one
family::entropy_level,0.5555555555555556,True,0.45,0.4972375690607735,gsm8k,qwen3_8b,76,0.4972375690607735,local,0.65
family::entropy_dynamics,0.5555555555555556,True,0.45,0.4972375690607735,gsm8k,qwen3_8b,76,0.4972375690607735,local,0.65
family::structural,0.5555555555555556,True,0.525,0.5398457583547558,gsm8k,qwen3_8b,76,0.5398457583547558,local,0.675
family::sampled_energy,0.5555555555555556,True,0.5,0.5263157894736842,gsm8k,qwen3_8b,76,0.5263157894736842,local,0.65
family::partition_energy,0.5555555555555556,True,0.475,0.5121293800539084,gsm8k,qwen3_8b,76,0.5121293800539084,local,0.65
family::topk_distribution,0.5555555555555556,True,0.5,0.5263157894736842,gsm8k,qwen3_8b,76,0.5263157894736842,local,0.675
primitive::entropy,0.5555555555555556,True,0.525,0.5398457583547558,gsm8k,qwen3_8b,76,0.5398457583547558,local,0.65
primitive::sampled_energy,0.5555555555555556,True,0.5,0.5263157894736842,gsm8k,qwen3_8b,76,0.5263157894736842,local,0.65
primitive::partition_energy,0.5555555555555556,True,0.475,0.5121293800539084,gsm8k,qwen3_8b,76,0.5121293800539084,local,0.65
primitive::topk_distribution,0.5555555555555556,True,0.5,0.5263157894736842,gsm8k,qwen3_8b,76,0.5263157894736842,local,0.675
family::entropy_level,0.6216216216216216,True,0.26851851851851855,0.3750351419735733,math,qwen3_8b,182,0.3750351419735733,local,0.4537037037037037
family::entropy_dynamics,0.6216216216216216,True,0.2777777777777778,0.3839732888146911,math,qwen3_8b,182,0.3839732888146911,local,0.4444444444444444
family::structural,0.6216216216216216,True,0.28703703703703703,0.3927292756816304,math,qwen3_8b,182,0.3927292756816304,local,0.46296296296296297
family::sampled_energy,0.6216216216216216,True,0.2777777777777778,0.3839732888146911,math,qwen3_8b,182,0.3839732888146911,local,0.46296296296296297
family::partition_energy,0.6216216216216216,True,0.2777777777777778,0.3839732888146911,math,qwen3_8b,182,0.3839732888146911,local,0.4722222222222222
family::topk_distribution,0.6216216216216216,True,0.25925925925925924,0.3659090909090909,math,qwen3_8b,182,0.3659090909090909,local,0.4537037037037037
primitive::entropy,0.6216216216216216,True,0.25,0.35658914728682173,math,qwen3_8b,182,0.35658914728682173,local,0.4166666666666667
primitive::sampled_energy,0.6216216216216216,True,0.2777777777777778,0.3839732888146911,math,qwen3_8b,182,0.3839732888146911,local,0.46296296296296297
primitive::partition_energy,0.6216216216216216,True,0.2777777777777778,0.3839732888146911,math,qwen3_8b,182,0.3839732888146911,local,0.4722222222222222
primitive::topk_distribution,0.6216216216216216,True,0.25925925925925924,0.3659090909090909,math,qwen3_8b,182,0.3659090909090909,local,0.4537037037037037
family::entropy_level,0.5308641975308642,True,0.20909090909090908,0.3000151676020021,olympiadbench,qwen3_8b,191,0.3000151676020021,local,0.4090909090909091
family::entropy_dynamics,0.5308641975308642,True,0.21818181818181817,0.3092598142043752,olympiadbench,qwen3_8b,191,0.3092598142043752,local,0.44545454545454544
family::structural,0.5308641975308642,True,0.23636363636363636,0.32709186658864836,olympiadbench,qwen3_8b,191,0.32709186658864836,local,0.45454545454545453
family::sampled_energy,0.5308641975308642,True,0.18181818181818182,0.27086614173228346,olympiadbench,qwen3_8b,191,0.27086614173228346,local,0.41818181818181815
family::partition_energy,0.5308641975308642,True,0.20909090909090908,0.3000151676020021,olympiadbench,qwen3_8b,191,0.3000151676020021,local,0.45454545454545453
family::topk_distribution,0.5308641975308642,True,0.22727272727272727,0.3182827535159141,olympiadbench,qwen3_8b,191,0.3182827535159141,local,0.42727272727272725
primitive::entropy,0.5308641975308642,True,0.17272727272727273,0.26064763120114853,olympiadbench,qwen3_8b,191,0.26064763120114853,local,0.39090909090909093
primitive::sampled_energy,0.5308641975308642,True,0.18181818181818182,0.27086614173228346,olympiadbench,qwen3_8b,191,0.27086614173228346,local,0.41818181818181815
primitive::partition_energy,0.5308641975308642,True,0.20909090909090908,0.3000151676020021,olympiadbench,qwen3_8b,191,0.3000151676020021,local,0.45454545454545453
primitive::topk_distribution,0.5308641975308642,True,0.22727272727272727,0.3182827535159141,olympiadbench,qwen3_8b,191,0.3182827535159141,local,0.42727272727272725
family::entropy_level,0.5555555555555556,True,0.23404255319148937,0.3293413173652695,omnimath,qwen3_8b,186,0.3293413173652695,local,0.46808510638297873
family::entropy_dynamics,0.5555555555555556,True,0.22695035460992907,0.3222557905337362,omnimath,qwen3_8b,186,0.3222557905337362,local,0.46099290780141844
family::structural,0.5555555555555556,True,0.24113475177304963,0.3363006923837784,omnimath,qwen3_8b,186,0.3363006923837784,local,0.475177304964539
family::sampled_energy,0.5555555555555556,True,0.2127659574468085,0.3076923076923077,omnimath,qwen3_8b,186,0.3076923076923077,local,0.4397163120567376
family::partition_energy,0.5555555555555556,True,0.24113475177304963,0.3363006923837784,omnimath,qwen3_8b,186,0.3363006923837784,local,0.48226950354609927
family::topk_distribution,0.5555555555555556,True,0.22695035460992907,0.3222557905337362,omnimath,qwen3_8b,186,0.3222557905337362,local,0.46808510638297873
primitive::entropy,0.5555555555555556,True,0.20567375886524822,0.3002070393374741,omnimath,qwen3_8b,186,0.3002070393374741,local,0.45390070921985815
primitive::sampled_energy,0.5555555555555556,True,0.2127659574468085,0.3076923076923077,omnimath,qwen3_8b,186,0.3076923076923077,local,0.4397163120567376
primitive::partition_energy,0.5555555555555556,True,0.24113475177304963,0.3363006923837784,omnimath,qwen3_8b,186,0.3363006923837784,local,0.48226950354609927
primitive::topk_distribution,0.5555555555555556,True,0.22695035460992907,0.3222557905337362,omnimath,qwen3_8b,186,0.3222557905337362,local,0.46808510638297873
family::entropy_level,0.6388888888888888,True,0.375,0.4726027397260274,gsm8k,llama31_8b,76,0.4726027397260274,local,0.5
family::entropy_dynamics,0.6388888888888888,True,0.275,0.38449848024316113,gsm8k,llama31_8b,76,0.38449848024316113,local,0.475
family::structural,0.6388888888888888,True,0.325,0.430835734870317,gsm8k,llama31_8b,76,0.430835734870317,local,0.5
family::sampled_energy,0.6388888888888888,True,0.375,0.4726027397260274,gsm8k,llama31_8b,76,0.4726027397260274,local,0.5
family::partition_energy,0.6388888888888888,True,0.325,0.430835734870317,gsm8k,llama31_8b,76,0.430835734870317,local,0.525
family::topk_distribution,0.6388888888888888,True,0.35,0.4522471910112359,gsm8k,llama31_8b,76,0.4522471910112359,local,0.5
primitive::entropy,0.6388888888888888,True,0.3,0.40828402366863903,gsm8k,llama31_8b,76,0.40828402366863903,local,0.45
primitive::sampled_energy,0.6388888888888888,True,0.375,0.4726027397260274,gsm8k,llama31_8b,76,0.4726027397260274,local,0.5
primitive::partition_energy,0.6388888888888888,True,0.325,0.430835734870317,gsm8k,llama31_8b,76,0.430835734870317,local,0.525
primitive::topk_distribution,0.6388888888888888,True,0.35,0.4522471910112359,gsm8k,llama31_8b,76,0.4522471910112359,local,0.5
family::entropy_level,0.6486486486486487,True,0.2777777777777778,0.3889789303079417,math,llama31_8b,182,0.3889789303079417,local,0.48148148148148145
family::entropy_dynamics,0.6486486486486487,True,0.25925925925925924,0.37045203969129,math,llama31_8b,182,0.37045203969129,local,0.4537037037037037
family::structural,0.6486486486486487,True,0.25925925925925924,0.37045203969129,math,llama31_8b,182,0.37045203969129,local,0.46296296296296297
family::sampled_energy,0.6486486486486487,True,0.2222222222222222,0.3310344827586207,math,llama31_8b,182,0.3310344827586207,local,0.4351851851851852
family::partition_energy,0.6486486486486487,True,0.26851851851851855,0.3798090040927694,math,llama31_8b,182,0.3798090040927694,local,0.46296296296296297
family::topk_distribution,0.6486486486486487,True,0.2777777777777778,0.3889789303079417,math,llama31_8b,182,0.3889789303079417,local,0.48148148148148145
primitive::entropy,0.6486486486486487,True,0.2777777777777778,0.3889789303079417,math,llama31_8b,182,0.3889789303079417,local,0.4722222222222222
primitive::sampled_energy,0.6486486486486487,True,0.2222222222222222,0.3310344827586207,math,llama31_8b,182,0.3310344827586207,local,0.4351851851851852
primitive::partition_energy,0.6486486486486487,True,0.26851851851851855,0.3798090040927694,math,llama31_8b,182,0.3798090040927694,local,0.46296296296296297
primitive::topk_distribution,0.6486486486486487,True,0.2777777777777778,0.3889789303079417,math,llama31_8b,182,0.3889789303079417,local,0.48148148148148145
