candidate,ci_high,ci_low,delta,family_losses,family_wins,reference,task
global_local__w0.75,0.024898196864812143,-0.011400488638501518,0.006055556633260267,0,2,global_local__w1.00,local
global_local__w0.75,0.014471526804424671,-0.0071611055558750076,0.0036888225108531736,0,2,global_local__w1.00,online
global_local__w1.00,0.0,0.0,0.0,0,0,global_local__w1.00,local
global_local__w1.00,0.0,0.0,0.0,0,0,global_local__w1.00,online
three_signal__g0.25__l0.00__o0.75,0.018040350315220412,-0.018410197937730185,-0.000910156578375787,1,1,global_local__w1.00,local
three_signal__g0.25__l0.00__o0.75,0.018632168622984623,-0.024005269912781253,-0.0025209746203250782,2,0,global_local__w1.00,online
three_signal__g0.50__l0.00__o0.50,0.012512423480317579,-0.01784698613489137,-0.002547828965295734,1,1,global_local__w1.00,local
three_signal__g0.50__l0.00__o0.50,0.013454451594823292,-0.013001462741320823,0.0005323784220315209,1,1,global_local__w1.00,online
three_signal__g0.50__l0.25__o0.25,0.015210767809511723,-0.018006607569309916,-0.0016837017920250386,1,1,global_local__w1.00,local
three_signal__g0.50__l0.25__o0.25,0.019404113228255526,-0.012361273209263713,0.0037418935493149785,1,1,global_local__w1.00,online
three_signal__g0.75__l0.00__o0.25,0.02377307859573571,-0.006703962389176484,0.006747561833198967,0,2,global_local__w1.00,local
three_signal__g0.75__l0.00__o0.25,0.006917940592986579,-0.0056156238891513135,0.0005474752163422969,1,1,global_local__w1.00,online
three_signal__g0.75__l0.25__o0.00,0.025533087638372316,-0.010812583633523573,0.006055556633260267,0,2,global_local__w1.00,local
three_signal__g0.75__l0.25__o0.00,0.014786265468018405,-0.0069974498485750975,0.0036888225108531736,0,2,global_local__w1.00,online
three_signal__g1.00__l0.00__o0.00,0.0,0.0,0.0,0,0,global_local__w1.00,local
three_signal__g1.00__l0.00__o0.00,0.0,0.0,0.0,0,0,global_local__w1.00,online
