family,fit_seconds,global_coordinates,gpu_hours,local_coordinates,model,online_score_seconds,persistent_local_state_scalars,physical_heads,python_peak_bytes
gsm8k,21.09176075004507,28,0,6,qwen3_8b,6.744069249951281,6,2,30895847
math,92.1980842089979,28,0,6,qwen3_8b,27.881681500002742,6,2,131337555
olympiadbench,132.31951891700737,28,0,6,qwen3_8b,37.94461429200601,6,2,186718219
omnimath,137.2305031249998,28,0,6,qwen3_8b,38.41417345800437,6,2,191776891
gsm8k,19.452349624945782,29,0,6,llama31_8b,6.353883958072402,6,2,28987253
math,88.9199910000898,29,0,6,llama31_8b,26.72106133401394,6,2,126327625
olympiadbench,127.6408058340894,29,0,6,llama31_8b,37.273128833039664,6,2,179331439
omnimath,132.7548480000114,29,0,6,llama31_8b,37.84378479095176,6,2,185537744
