candidate,ci_high,ci_low,delta,family_losses,family_wins,reference,task
finalist_global_detector_local_locator,0.037503652325203835,-0.02638710838275541,0.004811475804772508,1,3,max_entropy__step_top5mean,local
gl_liu_v1_replay,0.015487015648453919,-0.06686312612627116,-0.025017909368575703,3,1,max_entropy__step_top5mean,local
max_entropy__peak,-0.020205613112064674,-0.07825563040315268,-0.05032735487347196,3,1,max_entropy__step_top5mean,local
max_entropy__persistent_q90_3,0.006399303782574192,-0.07211428211285978,-0.03346384512096971,4,0,max_entropy__step_top5mean,local
mind_the_gap,-0.058189768141994384,-0.13332767753959435,-0.09682386855786863,4,0,max_entropy__step_top5mean,local
step272_twohead,-0.01891932231761603,-0.0899389578895481,-0.05359105043177316,3,1,max_entropy__step_top5mean,local
deepconf_w32,0.006287399253853506,-0.057521591351480994,-0.025115363511873906,3,1,iu28_registered,online
deepconf_w64,0.013809085515771986,-0.05075246477032421,-0.0181582517203987,3,1,iu28_registered,online
finalist_global_detector_local_locator,0.004170906051341523,-0.05022481962691711,-0.022189885548609067,3,1,iu28_registered,online
max_entropy,-0.0027402601547400615,-0.03330140073050412,-0.01829897583893947,4,0,iu28_registered,online
mean_entropy,0.014406703896636988,-0.049639999156912314,-0.017812702588313828,3,1,iu28_registered,online
step272_twohead,0.013228109940750818,-0.01798676441547417,-0.0022222542392873745,2,2,iu28_registered,online
