candidate,coordinate_count,fusion_terms,head_count,local,local_weights,online,online_weights
global_local__w0.00,6,2,1,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5732980296381955,"(0.0, 1.0, 0.0)"
global_local__w0.25,36,4,2,0.3309746803005629,"(0.25, 0.75, 0.0)",0.5796295301573564,"(0.25, 0.75, 0.0)"
global_local__w0.50,36,4,2,0.3385303190233245,"(0.5, 0.5, 0.0)",0.582973406754006,"(0.5, 0.5, 0.0)"
global_local__w0.75,36,4,2,0.357515918179849,"(0.75, 0.25, 0.0)",0.5805924311472161,"(0.75, 0.25, 0.0)"
global_local__w1.00,36,2,2,0.3514603615465888,"(1.0, 0.0, 0.0)",0.576903608636363,"(1.0, 0.0, 0.0)"
global_online__w0.00,18,2,2,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5720046988825078,"(0.0, 0.0, 1.0)"
global_online__w0.25,48,3,3,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5743826340160378,"(0.25, 0.0, 0.75)"
global_online__w0.50,48,3,3,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5774359870583945,"(0.5, 0.0, 0.5)"
global_online__w0.75,48,3,3,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5774510838527053,"(0.75, 0.0, 0.25)"
global_online__w1.00,36,2,2,0.3280339544136182,"(0.0, 1.0, 0.0)",0.576903608636363,"(1.0, 0.0, 0.0)"
independent_heads,18,2,2,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5720046988825078,"(0.0, 0.0, 1.0)"
shared_local,6,2,1,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5732980296381955,"(0.0, 1.0, 0.0)"
three_signal__g0.00__l0.00__o1.00,18,2,2,0.33821868724723714,"(0.0, 0.0, 1.0)",0.5720046988825078,"(0.0, 0.0, 1.0)"
three_signal__g0.00__l0.25__o0.75,18,4,2,0.3369876447648504,"(0.0, 0.25, 0.75)",0.5737465522300098,"(0.0, 0.25, 0.75)"
three_signal__g0.00__l0.50__o0.50,18,4,2,0.33049782520402815,"(0.0, 0.5, 0.5)",0.5763937909482071,"(0.0, 0.5, 0.5)"
three_signal__g0.00__l0.75__o0.25,18,4,2,0.32604528146161205,"(0.0, 0.75, 0.25)",0.5760874104812883,"(0.0, 0.75, 0.25)"
three_signal__g0.00__l1.00__o0.00,6,2,1,0.3280339544136182,"(0.0, 1.0, 0.0)",0.5732980296381955,"(0.0, 1.0, 0.0)"
three_signal__g0.25__l0.00__o0.75,48,4,3,0.350550204968213,"(0.25, 0.0, 0.75)",0.5743826340160378,"(0.25, 0.0, 0.75)"
three_signal__g0.25__l0.25__o0.50,48,6,3,0.3380029371240686,"(0.25, 0.25, 0.5)",0.5791154684752753,"(0.25, 0.25, 0.5)"
three_signal__g0.25__l0.50__o0.25,48,6,3,0.3404712674407193,"(0.25, 0.5, 0.25)",0.5797234786696444,"(0.25, 0.5, 0.25)"
three_signal__g0.25__l0.75__o0.00,36,4,2,0.3309746803005629,"(0.25, 0.75, 0.0)",0.5796295301573564,"(0.25, 0.75, 0.0)"
three_signal__g0.50__l0.00__o0.50,48,4,3,0.348912532581293,"(0.5, 0.0, 0.5)",0.5774359870583945,"(0.5, 0.0, 0.5)"
three_signal__g0.50__l0.25__o0.25,48,6,3,0.34977665975456373,"(0.5, 0.25, 0.25)",0.580645502185678,"(0.5, 0.25, 0.25)"
three_signal__g0.50__l0.50__o0.00,36,4,2,0.3385303190233245,"(0.5, 0.5, 0.0)",0.582973406754006,"(0.5, 0.5, 0.0)"
three_signal__g0.75__l0.00__o0.25,48,4,3,0.3582079233797877,"(0.75, 0.0, 0.25)",0.5774510838527053,"(0.75, 0.0, 0.25)"
three_signal__g0.75__l0.25__o0.00,36,4,2,0.357515918179849,"(0.75, 0.25, 0.0)",0.5805924311472161,"(0.75, 0.25, 0.0)"
three_signal__g1.00__l0.00__o0.00,36,2,2,0.3514603615465888,"(1.0, 0.0, 0.0)",0.576903608636363,"(1.0, 0.0, 0.0)"
