access_tier,auprc,auroc,base_candidate,budget,calibration_f1,candidate,clean_abstention,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,local_weights,locator,mean_absolute_step_error,n,online_weights,primary,task,threshold,within_one
,,,,,0.3026016461926625,shared_local,0.47619047619047616,,,0.2773722627737226,0.3505535055350553,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.3505535055350553,local,-0.6101669322044591,0.5255474452554745
,0.6376487638699968,0.6270508203281313,,64,,shared_local,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.6270508203281313,online_budget,,
,0.6189686008733061,0.6012404961984793,,128,,shared_local,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.6012404961984793,online_budget,,
,,,,,,shared_local,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,0,"(0.0, 1.0, 0.0)",0.6141456582633054,online,,
,,,,,0.3026016461926625,independent_heads,0.47619047619047616,,,0.2773722627737226,0.3505535055350553,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.3505535055350553,local,-0.6101669322044591,0.5255474452554745
,0.6445045791307982,0.6285514205682273,,64,,independent_heads,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.6285514205682273,online_budget,,
,0.616269214198063,0.6305522208883554,,128,,independent_heads,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.6305522208883554,online_budget,,
,,,,,,independent_heads,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,0,"(0.0, 0.0, 1.0)",0.6295518207282913,online,,
,,,,,0.3026016461926625,global_local__w0.00,0.47619047619047616,,,0.2773722627737226,0.3505535055350553,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.3505535055350553,local,-0.6101669322044591,0.5255474452554745
,0.6376487638699968,0.6270508203281313,,64,,global_local__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.6270508203281313,online_budget,,
,0.6189686008733061,0.6012404961984793,,128,,global_local__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 1.0, 0.0)",0.6012404961984793,online_budget,,
,,,,,,global_local__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,0,"(0.0, 1.0, 0.0)",0.6141456582633054,online,,
,,,,,0.3026016461926625,global_online__w0.00,0.47619047619047616,,,0.2773722627737226,0.3505535055350553,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.3505535055350553,local,-0.6101669322044591,0.5255474452554745
,0.6445045791307982,0.6285514205682273,,64,,global_online__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.6285514205682273,online_budget,,
,0.616269214198063,0.6305522208883554,,128,,global_online__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.0, 0.0, 1.0)",0.6305522208883554,online_budget,,
,,,,,,global_online__w0.00,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,0,"(0.0, 0.0, 1.0)",0.6295518207282913,online,,
,,,,,0.31942590120160214,global_local__w0.25,0.4603174603174603,,,0.2773722627737226,0.3461598869169153,olympiadbench,,,"(0.25, 0.75, 0.0)",,,200,"(0.25, 0.75, 0.0)",0.3461598869169153,local,-0.7039327686157104,0.5401459854014599
,0.6656111776809743,0.6430572228891557,,64,,global_local__w0.25,,,,,,olympiadbench,,,"(0.25, 0.75, 0.0)",,,200,"(0.25, 0.75, 0.0)",0.6430572228891557,online_budget,,
,0.6271531338255081,0.6179471788715487,,128,,global_local__w0.25,,,,,,olympiadbench,,,"(0.25, 0.75, 0.0)",,,200,"(0.25, 0.75, 0.0)",0.6179471788715487,online_budget,,
,,,,,,global_local__w0.25,,,,,,olympiadbench,,,"(0.25, 0.75, 0.0)",,,0,"(0.25, 0.75, 0.0)",0.6305022008803522,online,,
,,,,,0.3026016461926625,global_online__w0.25,0.47619047619047616,,,0.2773722627737226,0.3505535055350553,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.25, 0.0, 0.75)",0.3505535055350553,local,-0.6101669322044591,0.5255474452554745
,0.6544598293763011,0.6349539815926372,,64,,global_online__w0.25,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.25, 0.0, 0.75)",0.6349539815926372,online_budget,,
,0.6256042125632586,0.6373549419767909,,128,,global_online__w0.25,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,200,"(0.25, 0.0, 0.75)",0.6373549419767909,online_budget,,
,,,,,,global_online__w0.25,,,,,,olympiadbench,,,"(0.0, 1.0, 0.0)",,,0,"(0.25, 0.0, 0.75)",0.636154461784714,online,,
