test_set_code,size,auroc,fit_misfit,n_groups,measurements_code
ars_gsm8k_r1distill8b,3,0.6271412411118293,0.4967167606425815,2,"cusum_shift_idx,cusum_max_spilled,cusum_max_energy"
ars_gsm8k_r1distill8b,3,0.4140877504848093,0.706314573586315,2,"epr,trace_length,spectral_entropy"
ars_gsm8k_r1distill8b,3,0.6516645119586296,0.5245479786865258,2,"cusum_shift_idx,cusum_max_spilled,mean_logprob_entropy"
ars_gsm8k_r1distill8b,3,0.7447074983839689,0.5856082488959373,2,"epr_spilled,cusum_max_spilled,epr_energy"
ars_gsm8k_r1distill8b,3,0.5034744667097608,0.041031519423982254,2,"spectral_centroid,epr_energy,cusum_max_energy"
ars_gsm8k_r1distill8b,3,0.6063752424046542,0.8579261000930147,2,"trace_length,epr_spilled,mean_top1_logprob"
ars_gsm8k_r1distill8b,3,0.3549410148674854,0.07672334171136475,2,"spectral_entropy,hl_ratio,cusum_max_energy"
ars_gsm8k_r1distill8b,3,0.38154492566257275,0.4606741054440028,2,"spectral_entropy,stft_max_high_power,cusum_shift_idx"
ars_gsm8k_r1distill8b,3,0.7218002585649645,0.573953520054318,2,"epr,sw_var_peak,topk_tail_mass"
ars_gsm8k_r1distill8b,3,0.5932045895281189,0.5042179553105599,2,"cusum_shift_idx,cusum_max_spilled,min_spilled"
ars_gsm8k_r1distill8b,3,0.710023432449903,0.45483796307348834,2,"sw_var_peak,hurst_exponent,min_energy"
ars_gsm8k_r1distill8b,3,0.7300824175824177,0.5480909842849516,2,"sw_var_peak,epr_energy,varentropy"
ars_gsm8k_r1distill8b,3,0.396796218487395,0.4557128034584233,2,"min_spilled,min_energy,cusum_max_energy"
ars_gsm8k_r1distill8b,3,0.7182853910795087,0.471387831391059,2,"low_band_power,epr_spilled,min_energy"
ars_gsm8k_r1distill8b,3,0.604557207498384,0.7217403707991139,2,"stft_max_high_power,rpdi,pe_mean"
ars_gsm8k_r1distill8b,3,0.5602577569489334,0.6676428277126817,2,"spectral_entropy,mean_top1_logprob,renyi_entropy_2"
ars_gsm8k_r1distill8b,3,0.7320216548157725,0.11387513091458235,2,"spectral_centroid,epr_spilled,cusum_max_spilled"
ars_gsm8k_r1distill8b,3,0.7682005494505495,0.24841486627180082,2,"rpdi,cusum_max,epr_spilled"
ars_gsm8k_r1distill8b,3,0.5631868131868132,0.04714090658496711,2,"spectral_centroid,stft_spectral_entropy,logprob_margin"
ars_gsm8k_r1distill8b,3,0.7129726890756303,0.35578378471536454,2,"trace_length,spectral_entropy,sw_var_peak_spilled"
ars_gsm8k_r1distill8b,3,0.3519513574660633,0.663571591726668,2,"stft_spectral_entropy,sw_var_peak,sw_var_peak_energy"
ars_gsm8k_r1distill8b,3,0.41396654815772466,0.7190175160790562,2,"trace_length,spectral_entropy,mean_top1_logprob"
ars_gsm8k_r1distill8b,3,0.6589972527472527,0.8141446088494837,2,"high_band_power,epr_spilled,logprob_margin"
ars_gsm8k_r1distill8b,3,0.6840659340659341,0.5217893643546416,2,"dominant_freq,epr_energy,sw_var_peak_energy"
ars_gsm8k_r1distill8b,3,0.6898836457659987,0.6079254714815657,2,"sw_var_peak,cusum_shift_idx,topk_tail_mass"
ars_gsm8k_r1distill8b,3,0.7229920814479638,0.01527934607358706,2,"spectral_entropy,sw_var_peak_spilled,cusum_max_spilled"
ars_gsm8k_r1distill8b,3,0.6615021008403361,0.480133685039136,2,"min_spilled,logprob_margin,mean_logprob_entropy"
ars_gsm8k_r1distill8b,3,0.5825791855203619,0.4819034485950938,2,"trace_length,rpdi,mean_logprob_entropy"
