contrast,lhs,rhs,metric,macro_delta,cell_bootstrap_ci_low,cell_bootstrap_ci_high,wins,ties,losses,tie_tolerance,inference
white_minus_gray_final,white_pure_upcr,gray_mixed_v2_dufs_liu,auroc,-0.0013036783839533652,-0.016930835739533173,0.012299731412231805,8,0,5,0.001,descriptive post-hoc equal-cell bootstrap
white_minus_gray_final,white_pure_upcr,gray_mixed_v2_dufs_liu,auprc,-0.010682991501213306,-0.035363088982932965,0.011077849698914254,8,0,5,0.001,descriptive post-hoc equal-cell bootstrap
white_minus_gray_same_upcr,white_pure_upcr,gray_mixed_v2_upcr,auroc,0.0007501714220109137,-0.012925994183138372,0.013420334147226147,9,0,4,0.001,descriptive post-hoc equal-cell bootstrap
white_minus_gray_same_upcr,white_pure_upcr,gray_mixed_v2_upcr,auprc,-0.009187909496739597,-0.0302656899299958,0.009896962213289878,8,0,5,0.001,descriptive post-hoc equal-cell bootstrap
hybrid_minus_gray_final,exploratory_equal_z_hybrid,gray_mixed_v2_dufs_liu,auroc,0.007208943398379041,0.00010104652524848039,0.014105194994513083,9,1,3,0.001,descriptive post-hoc equal-cell bootstrap
hybrid_minus_gray_final,exploratory_equal_z_hybrid,gray_mixed_v2_dufs_liu,auprc,0.0028490207926638376,-0.004388709142892773,0.009426958839513838,8,2,3,0.001,descriptive post-hoc equal-cell bootstrap
