acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,alpha,delta,f1,f1_sd,method,n_rows,n_splits_used,sla,sla_sd,sla_tol1,sla_tol1_sd,subset,tau,tau_sd
0.04995144337794346,0.013065941206702642,0.2633750894856166,0.02054981140049415,0.1,,0.08314351172344045,0.018732379928493265,logtoku_oriented_avg,1000,100,0.2633750894856166,0.02054981140049415,0.5062779111693813,0.020668622155210314,math,-332.5676779402577,3.4152226282226743
0.0,0.0,0.22546340678510277,0.019010168561167703,0.1,,0.0,0.0,ln_s_drop,1000,100,0.22546340678510277,0.019010168561167703,0.4608924734224338,0.02192949747928475,math,1.8337443022877113,0.07344954126978386
0.012527254392740208,0.006449435484597243,0.21257779671686525,0.019179227210313947,0.1,,0.02333326650723316,0.011480090863483111,shannon_avg,1000,100,0.21257779671686525,0.019179227210313947,0.456234466051891,0.020192635661836985,math,0.14263655032708922,0.007959275886591509
0.03266234001625643,0.012517827074036439,0.21188794470187258,0.018667676460305385,0.1,,0.05565811113006837,0.019273614672734106,upcr_positional,1000,100,0.21188794470187258,0.018667676460305385,0.4687622020987137,0.0210574183674325,math,0.3178712757459952,0.017153386438347927
0.004901848113895569,0.0034786636453339958,0.20765756345809191,0.01726798488931591,0.1,,0.009466986076768972,0.006638226157670896,upcr_token,1000,100,0.20765756345809191,0.01726798488931591,0.48589983694218813,0.02089082374790416,math,0.04229339974466047,0.0014158117590212188
0.009379454080884813,0.005794794294973699,0.20579509314379194,0.018233532170524997,0.1,,0.017653438704045607,0.01045086519013976,shannon_drop,1000,100,0.20579509314379194,0.018233532170524997,0.46647251986960725,0.020042797579349708,math,0.3960187064202219,0.008290733816880568
0.0,0.0,0.19679839689148737,0.017949935452137213,0.1,,0.0,0.0,logtoku_oriented_drop,1000,100,0.19679839689148737,0.017949935452137213,0.44883613012114565,0.020119441916113284,math,53.69920033300671,1.0490779288881096
0.0,0.0,0.1937088378585293,0.01837888473702427,0.1,,0.0,0.0,upcr_step,1000,100,0.1937088378585293,0.01837888473702427,0.4437212401810654,0.019934221772171704,math,-0.22903370348302854,0.02032678319553948
0.00043425246198704735,0.0013885003619860678,0.1937088378585293,0.01837888473702427,0.1,,0.0008467098513201811,0.0027072622652787337,ln_s_avg,1000,100,0.1937088378585293,0.01837888473702427,0.4437212401810654,0.019934221772171704,math,0.3505665428319142,0.01686307377967983
0.0027447427702474063,0.003290060562581527,0.18540547195362284,0.0175146029679095,0.1,,0.005299163275591739,0.006305323685971985,logtoku_drop,1000,100,0.18540547195362284,0.0175146029679095,0.4439723808019132,0.02049776176126068,math,50.620086547720206,0.9710945382545687
0.0,0.0,0.1813733659956406,0.0183366327200233,0.1,,0.0,0.0,logtoku_avg,1000,100,0.1813733659956406,0.0183366327200233,0.43763341902138114,0.020253413804165774,math,201.37684018501517,2.339081144394561
